N	2gram	Ircho_Kome_3	FransuaR
1	и в	22	49
2	прежде всего	5	19
3	в его	8	18
4	не только	5	17
5	и его	6	17
6	и на	2	17
7	и не	21	15
8	в этом	8	15
9	в них	3	13
10	но и	4	13
11	в эпоху	2	13
12	во время	6	12
13	как и	3	11
14	как бы	3	11
15	вовсе не	4	10
16	в этой	3	10
17	все это	5	9
18	в нем	3	9
19	в сущности	2	8
20	отношение к	5	8
21	до нас	4	8
22	все же	4	7
23	один из	3	7
24	не может	3	7
25	таким образом	12	7
26	то же	7	7
27	как мы	2	7
28	то что	4	6
29	же время	5	6
30	во всех	2	6
31	так и	4	6
32	и с	4	6
33	точки зрения	4	6
34	в то	6	6
35	так как	11	6
36	с его	3	5
37	никогда не	3	5
38	в своем	8	5
39	уже в	2	5
40	в начале	3	5
41	при этом	7	5
42	тот же	2	5
43	может быть	6	5
44	в своей	5	5
45	с точки	3	5
46	роль в	2	5
47	она была	2	4
48	с другой	4	4
49	нового времени	2	4
50	и во	2	4
51	и к	3	4
52	в себе	4	4
53	том что	13	4
54	но все	4	4
55	и о	2	4
56	в свое	2	4
57	в своих	2	4
58	сих пор	9	4
59	до сих	9	4
60	в известной	2	4
61	отношения к	2	4
62	не было	2	4
63	а в	7	4
64	в области	2	4
65	тем что	5	4
66	с ним	5	4
67	но в	5	4
68	с одной	3	3
69	о чем	7	3
70	в течение	3	3
71	в одном	2	3
72	человека и	2	3
73	что он	8	3
74	в ее	3	3
75	в г	2	3
76	в том	12	3
77	а затем	2	3
78	не дает	4	3
79	одной стороны	3	3
80	было бы	3	3
81	из них	5	3
82	несмотря на	4	3
83	в самом	9	3
84	и особенно	2	3
85	и со	2	3
86	раз в	2	3
87	ни в	10	3
88	другой стороны	2	3
89	что для	2	3
90	этом отношении	2	3
91	и все	2	3
92	к нему	5	3
93	можно было	2	3
94	их в	3	3
95	далеко не	3	3
96	о том	8	3
97	и это	2	3
98	в виду	2	3
99	одного из	3	2
100	под влиянием	2	2
101	он понимает	2	2
102	связи с	5	2
103	что в	5	2
104	за пределы	2	2
105	в качестве	2	2
106	что касается	2	2
107	это в	2	2
108	для понимания	2	2
109	на то	3	2
110	в отношении	4	2
111	он был	4	2
112	без всякого	2	2
113	по существу	2	2
114	что они	2	2
115	перед лицом	2	2
116	все что	3	2
117	по сравнению	2	2
118	и после	2	2
119	и без	2	2
120	ничего не	3	2
121	до конца	4	2
122	в пределах	2	2
123	еще не	6	2
124	совершенно не	2	2
125	в произведениях	2	2
126	вплоть до	2	2
127	одним из	2	2
128	у него	4	2
129	хотя и	5	2
130	в ней	4	2
131	к ней	8	2
132	в мире	2	2
133	вместе с	9	2
134	в их	2	2
135	целый ряд	2	2
136	должен был	4	2
137	в связи	4	2
138	того чтобы	6	2
139	и даже	3	2
140	так же	4	2
141	меньше чем	2	2
142	во всяком	3	2
143	одной из	3	2
144	нуждается в	2	2
145	себе в	3	2
146	на его	2	2
147	и еще	3	2
148	в другом	2	2
149	сравнению с	2	2
150	в конце	7	2
151	здесь не	2	2
152	всяком случае	3	2
153	мы можем	3	2
