N	2gram	Bakhtin_Fr_8	Tragedij
1	и в	56	18
2	в романе	21	10
3	в году	3	9
4	в этом	14	9
5	не только	8	8
6	и не	9	7
7	и на	7	7
8	и с	8	7
9	может быть	3	7
10	как бы	11	7
11	в образе	3	6
12	что он	2	6
13	и его	12	6
14	же время	10	6
15	у него	7	6
16	но в	6	6
17	все же	2	5
18	что это	4	5
19	так и	13	5
20	это не	2	5
21	не может	2	5
22	то же	11	5
23	как и	5	5
24	в то	12	5
25	несмотря на	2	5
26	это очень	2	5
27	но и	9	4
28	то что	3	4
29	что в	5	4
30	все это	8	4
31	прежде всего	6	4
32	и все	6	4
33	в нем	8	4
34	и даже	8	4
35	так же	2	4
36	том что	8	4
37	но это	2	4
38	в этой	6	4
39	в себе	4	4
40	еще не	10	4
41	уже в	2	3
42	один из	5	3
43	с ее	5	3
44	в своем	3	3
45	все эти	15	3
46	и как	2	3
47	к нему	2	3
48	эпизод с	2	3
49	в его	18	3
50	для него	2	3
51	при этом	4	3
52	и сам	2	3
53	своего рода	5	3
54	в мире	2	3
55	с ним	2	3
56	то есть	24	3
57	перед нами	3	2
58	и до	10	2
59	не был	4	2
60	что и	3	2
61	в частности	7	2
62	данном случае	2	2
63	что все	4	2
64	не просто	3	2
65	уже не	3	2
66	бы и	2	2
67	с его	5	2
68	времени в	3	2
69	и здесь	3	2
70	ни в	2	2
71	он был	12	2
72	в ее	6	2
73	в том	13	2
74	до конца	11	2
75	говорит о	2	2
76	так что	3	2
77	не в	3	2
78	в данном	2	2
79	и то	2	2
80	одна из	4	2
81	потому что	6	2
82	с тем	2	2
83	в виде	2	2
84	он и	2	2
85	и ее	4	2
86	о том	4	2
87	его в	2	2
88	что эти	2	2
89	в самом	9	2
90	не мог	3	2
91	он не	5	2
92	в одном	2	2
93	что она	2	2
94	никогда не	5	2
