N	2gram	Tiupa_Disk_2	Tvorches
1	и в	16	21
2	как бы	4	17
3	в то	5	15
4	в его	3	13
5	то же	6	13
6	времени в	4	13
7	что в	5	12
8	как и	16	12
9	же время	5	12
10	то есть	12	12
11	с его	6	11
12	том что	10	11
13	все это	2	10
14	как в	8	8
15	он не	3	8
16	то что	5	8
17	в том	8	7
18	тем самым	6	7
19	при этом	17	7
20	не только	10	7
21	и не	15	7
22	и на	5	7
23	но в	11	7
24	что он	2	6
25	жизни в	3	6
26	и все	3	6
27	не менее	7	6
28	для него	5	6
29	в котором	3	6
30	человека в	4	6
31	по природе	2	6
32	а в	2	6
33	и его	3	6
34	в этом	16	6
35	о том	4	6
36	в творчестве	3	6
37	отнюдь не	6	5
38	а не	14	5
39	но это	3	5
40	может быть	16	5
41	в этой	4	5
42	все же	6	5
43	в своих	6	5
44	потому что	4	5
45	как будто	3	5
46	только в	3	5
47	в русской	3	5
48	в своем	5	4
49	прежде всего	7	4
50	в мире	11	4
51	и как	3	4
52	времени и	2	4
53	в целом	2	4
54	по сути	2	4
55	своего рода	10	4
56	в своей	6	4
57	русской литературе	2	4
58	не может	9	4
59	это не	3	4
60	в записках	2	4
61	место в	2	3
62	никогда не	2	3
63	с другой	5	3
64	это в	2	3
65	с ее	2	3
66	в соответствии	2	3
67	соответствии с	3	3
68	но не	7	3
69	той же	2	3
70	в нем	7	3
71	жизни и	3	3
72	время в	2	3
73	но и	11	3
74	уже не	3	3
75	там же	2	3
76	и с	2	3
77	в рассказе	4	3
78	далеко не	2	3
79	дело в	2	3
80	представляет собой	11	3
81	я и	4	3
82	стремится к	2	3
83	в основе	4	2
84	такой же	2	2
85	в принципе	2	2
86	перед нами	3	2
87	натуральной школы	2	2
88	в частности	12	2
89	в этих	3	2
90	в качестве	16	2
91	не столько	3	2
92	у пушкина	2	2
93	одного из	4	2
94	личности в	2	2
95	к этому	4	2
96	можно сказать	3	2
97	что и	2	2
98	не в	3	2
99	того же	2	2
100	было в	3	2
101	не нужно	2	2
102	мысль о	3	2
103	из них	3	2
104	по преимуществу	2	2
105	живет в	2	2
106	в ней	2	2
107	наше время	2	2
108	еще в	3	2
109	вместе с	2	2
110	но она	3	2
111	к жизни	3	2
112	данном случае	6	2
113	так и	9	2
114	приводит к	3	2
115	в наше	2	2
116	в отличие	12	2
117	и того	3	2
118	именно в	2	2
119	в себя	2	2
120	и наконец	3	2
121	что как	2	2
122	отличие от	12	2
123	ведет к	3	2
124	могут быть	3	2
125	в данном	7	2
126	в себе	19	2
127	не знает	3	2
128	говорит об	2	2
129	мира в	3	2
