N	3gram	Medvedev_F_3	Myshleni
1	с точки зрения	14	21
2	для того чтобы	4	18
3	в том что	3	13
4	не только не	2	9
5	к тому что	2	6
6	в данном случае	4	5
7	то же самое	3	5
8	по отношению к	3	5
9	в самом деле	4	4
10	слова и его	2	4
11	не может быть	14	4
12	вместе с тем	3	4
13	смысле этого слова	2	3
14	мы не можем	2	3
15	тем не менее	2	3
16	как мы видели	2	3
17	в этом отношении	3	3
18	точки зрения самого	2	2
19	в большинстве случаев	4	2
20	нет и не	2	2
21	в отличие от	2	2
22	одним и тем	2	2
23	в направлении к	4	2
24	и тем же	2	2
25	на самом деле	12	2
26	потому что он	3	2
