N	2gram	Losev_Vlad_1	VLabPisa
1	таким образом	3	27
2	в этом	14	26
3	и в	31	25
4	и т	2	24
5	не только	24	22
6	может быть	6	21
7	хотя бы	2	20
8	и не	17	19
9	не может	6	17
10	в его	12	15
11	т д	2	15
12	в письме	8	14
13	в том	11	13
14	в частности	2	12
15	все это	5	12
16	как это	7	12
17	вот что	3	11
18	с другой	3	11
19	из них	2	11
20	в качестве	6	10
21	письме к	10	10
22	о том	11	10
23	по этому	2	9
24	к этому	6	9
25	об этом	7	9
26	что в	14	9
27	для него	7	9
28	но и	19	9
29	то же	6	9
30	все эти	3	8
31	на основании	2	8
32	в своем	4	8
33	другой стороны	3	8
34	из этих	2	7
35	в году	30	7
36	как и	4	7
37	том что	14	7
38	было бы	2	7
39	вместе с	3	7
40	он пишет	3	7
41	не было	5	7
42	у него	15	6
43	в себе	4	6
44	это и	2	6
45	то что	18	6
46	более или	3	6
47	главным образом	4	6
48	в нем	4	6
49	так и	6	6
50	или менее	3	6
51	и его	7	6
52	в то	8	6
53	в результате	2	5
54	же время	4	5
55	все же	3	5
56	одним из	2	5
57	один из	4	5
58	сказать что	7	5
59	только в	9	5
60	не в	5	5
61	он говорит	2	5
62	к тому	3	4
63	для его	2	4
64	никогда не	9	4
65	в целом	3	4
66	что все	2	4
67	что он	12	4
68	с его	11	4
69	можно сказать	6	4
70	в своей	4	4
71	в самом	2	4
72	даже в	2	4
73	когда он	5	4
74	как раз	7	4
75	в них	2	4
76	в связи	3	4
77	с ними	2	4
78	в философии	2	4
79	в этой	4	4
80	это делает	2	3
81	и к	6	3
82	во время	3	3
83	января года	3	3
84	с тем	2	3
85	и как	4	3
86	даже и	9	3
87	и от	5	3
88	в конце	9	3
89	только что	2	3
90	мы знаем	2	3
91	у нас	6	3
92	по существу	2	3
93	толстого в	3	3
94	из его	4	3
95	что они	3	3
96	но как	5	3
97	это мы	2	3
98	к н	5	3
99	по поводу	12	3
100	со своим	5	3
101	и он	3	3
102	в котором	6	3
103	нет и	2	3
104	что и	5	3
105	жизни и	5	3
106	него в	2	3
107	образом в	2	3
108	этой области	2	3
109	того что	2	3
110	и по	8	3
111	никак не	4	3
112	как на	2	3
113	точки зрения	2	3
114	не менее	2	2
115	он сам	2	2
116	из многочисленных	2	2
117	к с	4	2
118	но даже	2	2
119	а толстой	6	2
120	в жизни	3	2
121	вовсе не	5	2
122	и весь	2	2
123	о его	2	2
124	что его	4	2
125	и потому	6	2
126	но не	3	2
127	н н	9	2
128	так например	2	2
129	еще не	2	2
130	для того	2	2
131	он и	6	2
132	в общем	3	2
133	одной из	2	2
134	том чтобы	2	2
135	ни с	4	2
136	в науке	3	2
137	что она	2	2
138	конце концов	3	2
139	и даже	15	2
140	всяком случае	2	2
141	отнюдь не	3	2
142	что для	4	2
143	с а	9	2
144	этом и	2	2
145	не по	2	2
146	между прочим	11	2
147	даже не	2	2
148	а в	9	2
149	в особенности	4	2
150	свидетельствуют о	3	2
151	начиная с	2	2
152	и через	3	2
153	еще и	7	2
154	в течение	9	2
155	того чтобы	2	2
156	что такое	2	2
157	и для	2	2
158	по его	2	2
159	года и	2	2
160	в своих	5	2
161	не столько	2	2
162	также и	10	2
163	пока еще	2	2
164	во всяком	2	2
165	хотя и	4	2
166	лишь в	2	2
167	он в	3	2
168	ума и	2	2
169	знаем что	2	2
170	он не	10	2
171	и просто	3	2
172	марта года	3	2
173	к его	3	2
174	что мы	2	2
175	на это	2	2
176	как он	4	2
177	в чем	2	2
178	в которой	4	2
179	но в	12	2
