N	2gram	Propp_Russ_1	Morfolog
1	может быть	8	52
2	и т	10	49
3	т д	9	47
4	и пр	2	40
5	таким образом	6	20
6	представляет собой	4	17
7	не может	4	17
8	т е	17	16
9	в этих	3	16
10	могут быть	2	15
11	с этим	2	14
12	и в	36	13
13	в этом	12	13
14	и др	4	12
15	так как	15	12
16	чаще всего	3	11
17	мы видим	2	11
18	связи с	4	11
19	представляют собой	7	10
20	этом случае	5	9
21	так и	7	9
22	в связи	4	9
23	то же	3	9
24	и не	6	9
25	а не	2	9
26	мы имеем	4	9
27	по существу	4	8
28	что и	7	8
29	в тех	4	7
30	в качестве	3	7
31	все же	5	7
32	это не	10	6
33	и здесь	2	6
34	в том	17	6
35	но не	2	6
36	а также	3	6
37	составные части	2	6
38	а в	9	6
39	во время	14	6
40	не менее	3	5
41	и другие	13	5
42	в образе	2	5
43	в поле	3	5
44	иногда в	2	5
45	мы увидим	8	5
46	во всех	4	5
47	далеко не	3	5
48	как бы	5	5
49	один из	8	5
50	то что	6	5
51	или в	2	5
52	потому что	10	5
53	мы не	6	5
54	что в	19	4
55	и как	2	4
56	об этом	9	4
57	увидим ниже	3	4
58	тем не	3	4
59	несмотря на	3	4
60	не только	22	4
61	в некоторых	4	4
62	как в	5	4
63	как мы	10	4
64	так же	3	4
65	как и	10	4
66	там где	2	4
67	следующим образом	4	4
68	хотя и	2	4
69	тем что	4	4
70	точки зрения	3	4
71	с точки	3	4
72	видно что	6	4
73	на этом	3	4
74	если в	3	4
75	ничего не	3	4
76	в других	11	4
77	независимо от	2	3
78	в нашем	2	3
79	между собой	2	3
80	с собой	4	3
81	в какой	2	3
82	том что	19	3
83	но все	3	3
84	но это	4	3
85	что они	7	3
86	в целом	2	3
87	этого момента	3	3
88	и другим	2	3
89	но и	16	3
90	входит в	4	3
91	на самом	2	3
92	и по	8	3
93	и для	2	3
94	мы можем	2	3
95	из них	8	3
96	мы должны	2	3
97	в один	2	3
98	из приведенных	3	3
99	но в	2	3
100	значит что	2	3
101	наших целей	2	2
102	встречается и	2	2
103	и более	2	2
104	с тем	8	2
105	в виде	6	2
106	в частности	2	2
107	его и	2	2
108	та же	2	2
109	состоит в	8	2
110	к этому	4	2
111	е а	2	2
112	как уже	4	2
113	в различных	2	2
114	животных и	4	2
115	так например	6	2
116	и к	3	2
117	в в	2	2
118	сделать из	2	2
119	на другие	2	2
120	не с	3	2
121	вывод что	3	2
122	только в	4	2
123	они и	2	2
124	тем и	2	2
125	в большинстве	2	2
126	можно сделать	3	2
127	с этого	6	2
128	но есть	2	2
129	означает что	2	2
130	или на	3	2
131	не значит	2	2
132	себя и	2	2
133	в настоящее	3	2
134	быть и	2	2
135	но эти	3	2
136	для наших	2	2
137	их на	4	2
138	как например	3	2
139	а а	25	2
140	а с	4	2
141	относятся к	2	2
142	все эти	2	2
143	не означает	2	2
144	и что	4	2
145	того что	4	2
146	уже не	6	2
147	не имеет	6	2
148	после чего	2	2
149	этот вопрос	2	2
150	настоящее время	3	2
151	о том	8	2
152	большинстве случаев	2	2
153	одна из	4	2
154	как это	8	2
