N	3gram	Vinokur_Vv_1	VLabPisa
1	и т д	37	15
2	в этом отношении	3	13
3	и т п	5	9
4	с другой стороны	5	8
5	не может быть	8	8
6	по этому поводу	2	7
7	по отношению к	4	7
8	хотя бы и	2	5
9	то же время	5	5
10	в то же	5	5
11	можно сказать что	3	4
12	в связи с	2	4
13	не могут быть	2	4
14	в том что	12	4
15	большей или меньшей	2	3
16	о том что	12	3
17	вместе с тем	3	3
18	в конце концов	2	2
19	также и в	2	2
20	по крайней мере	4	2
21	как об этом	2	2
22	до сих пор	5	2
23	таким образом по	2	2
24	во всяком случае	3	2
25	том отношении что	3	2
26	в чем же	3	2
27	в том отношении	3	2
28	одной стороны и	3	2
29	в другом месте	2	2
30	в том чтобы	5	2
31	с одной стороны	4	2
32	можно было бы	3	2
33	для того чтобы	21	2
