N	2gram	Potebnia_M_1	Problemy
1	и в	39	43
2	и не	18	29
3	может быть	27	23
4	как бы	6	22
5	не может	22	18
6	но и	20	14
7	как и	9	14
8	и т	6	13
9	точки зрения	8	13
10	в этом	15	13
11	слова в	2	12
12	в нем	20	12
13	в одном	8	12
14	слова и	4	12
15	в каждом	4	11
16	не в	15	11
17	по себе	10	11
18	не только	21	11
19	прежде всего	4	10
20	но в	9	10
21	в его	5	10
22	как мы	2	10
23	никогда не	4	9
24	еще не	6	9
25	в сущности	2	9
26	он не	3	9
27	т п	4	9
28	для него	4	8
29	то же	6	8
30	с точки	3	8
31	и его	5	8
32	или в	2	8
33	в самом	3	7
34	в то	4	7
35	то что	10	7
36	что же	2	7
37	а не	21	7
38	в этих	7	6
39	в том	26	6
40	при этом	6	6
41	к одному	2	6
42	и все	3	6
43	так сказать	2	6
44	на то	2	5
45	так что	16	5
46	же время	4	5
47	хотя и	3	5
48	по отношению	13	5
49	таким образом	13	5
50	а в	5	5
51	и с	3	5
52	бы в	4	5
53	вовсе не	5	5
54	о том	2	5
55	но не	8	5
56	слов и	4	5
57	было бы	12	5
58	мы увидим	3	5
59	никак не	2	5
60	и что	10	5
61	отношению к	13	5
62	в слове	8	5
63	в себе	13	5
64	не могут	4	4
65	сама по	3	4
66	что в	22	4
67	в своем	3	4
68	с другой	7	4
69	к тому	4	4
70	в самой	3	4
71	но это	5	4
72	между собою	6	4
73	по мере	6	4
74	в словах	3	4
75	т д	4	4
76	должно быть	7	4
77	но он	2	4
78	так как	21	4
79	то есть	42	4
80	а как	2	4
81	в них	3	4
82	из одного	3	4
83	в своей	3	4
84	том же	2	4
85	если же	5	4
86	во всех	5	4
87	но эти	2	4
88	там где	4	4
89	на этот	2	4
90	мы не	10	4
91	этот вопрос	2	4
92	речи и	10	4
93	только в	25	4
94	и это	3	4
95	не менее	6	3
96	в человеке	10	3
97	мы будем	2	3
98	что если	3	3
99	должна быть	3	3
100	это не	7	3
101	переходим к	2	3
102	есть в	2	3
103	и следовательно	2	3
104	в виду	2	3
105	и их	3	3
106	образом и	2	3
107	в их	2	3
108	и только	2	3
109	в одно	2	3
110	и даже	4	3
111	во всем	4	3
112	с ним	3	3
113	между тем	5	3
114	в жизни	3	3
115	но при	3	3
116	если бы	14	3
117	в единстве	2	3
118	стороны и	2	3
119	того же	3	3
120	она не	3	3
121	за пределы	2	3
122	что и	6	3
123	все же	6	3
124	на него	3	3
125	так и	13	3
126	только на	3	3
127	связи между	2	3
128	уже не	2	3
129	другой стороны	5	3
130	и для	5	3
131	той же	3	3
132	тем что	9	3
133	могут быть	9	3
134	но на	2	2
135	из этих	4	2
136	мысли и	9	2
137	была бы	2	2
138	вопрос о	4	2
139	его к	2	2
140	что на	6	2
141	слова но	2	2
142	словом и	2	2
143	тем не	6	2
144	для нас	9	2
145	слова мы	3	2
146	и как	6	2
147	но все	2	2
148	времени и	2	2
149	что это	3	2
150	оно должно	2	2
151	на себе	2	2
152	то это	5	2
153	в целом	2	2
154	друг от	2	2
155	и без	3	2
156	то и	7	2
157	для этого	2	2
158	слово а	2	2
159	того что	8	2
160	речь и	2	2
161	так же	5	2
162	чтобы не	2	2
163	в своих	4	2
164	сказать что	3	2
165	известно что	2	2
166	в первом	5	2
167	во всяком	3	2
168	ни было	2	2
169	в стороне	4	2
170	с этим	7	2
171	эти отношения	3	2
172	этом смысле	4	2
173	бы ни	4	2
174	у нас	2	2
175	и при	3	2
176	и слова	2	2
177	от друга	2	2
178	и о	2	2
179	для себя	3	2
180	не есть	10	2
181	дело в	2	2
182	как в	10	2
183	еще более	2	2
184	если мы	3	2
185	он есть	2	2
186	том что	16	2
187	что не	10	2
188	должны быть	7	2
189	тем же	2	2
190	хотя бы	2	2
191	и всегда	2	2
192	в таком	5	2
193	и то	3	2
194	мы можем	2	2
195	как дух	2	2
196	с другим	3	2
197	бы не	6	2
198	и самое	2	2
199	а между	3	2
200	того как	6	2
