N	2gram	Medvedev_F_3	VrazhdaK
1	не только	9	9
2	в этом	18	8
3	и что	3	8
4	и в	27	8
5	но и	10	7
6	что в	8	7
7	то что	8	7
8	и все	8	7
9	в котором	2	6
10	в нем	15	6
11	все же	6	6
12	и даже	2	6
13	в романе	4	6
14	как и	14	6
15	но в	6	6
16	и с	3	6
17	о нем	3	6
18	то же	15	5
19	и не	30	5
20	между тем	7	5
21	в то	7	5
22	же время	7	5
23	в россии	2	5
24	уже в	4	4
25	для нас	3	4
26	как бы	8	4
27	все это	7	4
28	это не	3	4
29	что он	6	4
30	так же	9	4
31	в своих	6	4
32	может быть	25	4
33	при этом	8	4
34	в истории	5	4
35	о том	4	4
36	в ней	5	4
37	в виду	3	4
38	с его	2	3
39	связи с	5	3
40	который был	2	3
41	в своем	2	3
42	и во	2	3
43	в связи	4	3
44	в конце	3	3
45	т е	32	3
46	к этому	2	3
47	человека в	2	3
48	он был	4	3
49	в том	7	3
50	и его	19	3
51	том что	4	3
52	и как	4	3
53	тем что	5	3
54	в его	7	3
55	его в	7	3
56	одним из	3	3
57	место в	10	2
58	в своей	6	2
59	и это	2	2
60	в роман	4	2
61	из них	2	2
62	не менее	7	2
63	никогда не	5	2
64	вместе с	6	2
65	отнюдь не	8	2
66	его и	3	2
67	в них	3	2
68	столь же	3	2
69	как раз	8	2
70	так в	2	2
71	не может	24	2
72	отношения к	2	2
73	таким образом	18	2
74	п в	2	2
75	но это	2	2
76	в той	3	2
77	уже не	3	2
78	мы знаем	4	2
79	с точки	14	2
80	в этой	2	2
81	же как	3	2
82	их в	3	2
83	точки зрения	16	2
84	и ее	6	2
85	в себе	3	2
86	еще не	6	2
87	одна из	2	2
88	в эту	2	2
89	в него	3	2
