N	2gram	Vinokur_Ku_3	Myshleni
1	в том	22	42
2	том что	11	35
3	с помощью	6	31
4	в процессе	3	27
5	таким образом	9	25
6	точки зрения	23	24
7	в этом	16	24
8	в качестве	2	21
9	и в	23	20
10	что в	13	19
11	заключается в	4	18
12	то же	6	16
13	то что	4	15
14	не только	17	15
15	что они	2	14
16	как мы	5	13
17	с другой	7	12
18	при этом	6	12
19	в их	6	12
20	потому что	12	12
21	может быть	14	12
22	в целом	4	11
23	так же	2	11
24	в его	11	11
25	мы должны	3	11
26	с точки	16	11
27	этого слова	4	11
28	того что	11	10
29	так как	9	10
30	в отношении	3	10
31	если мы	7	10
32	только в	6	10
33	слова в	4	9
34	и как	2	9
35	одной стороны	4	9
36	но и	3	9
37	другой стороны	3	9
38	с одной	4	9
39	между тем	4	9
40	согласно которому	2	9
41	как это	7	9
42	как и	5	9
43	того же	4	9
44	тот же	6	9
45	что и	6	9
46	и не	10	8
47	и тем	6	8
48	и что	7	8
49	в результате	3	8
50	тогда когда	4	8
51	было бы	16	8
52	вместе с	2	8
53	и более	3	7
54	как бы	5	7
55	смысле этого	2	7
56	что мы	2	7
57	и тот	2	7
58	в своей	4	7
59	собственном смысле	2	7
60	самом деле	14	7
61	тем самым	4	7
62	а не	11	7
63	того чтобы	11	7
64	тем что	5	7
65	могут быть	6	7
66	один и	2	7
67	уже в	3	6
68	одного и	2	6
69	к тому	3	6
70	тому же	3	6
71	мы видели	3	6
72	в самом	13	6
73	не может	6	6
74	те же	7	6
75	сказать что	7	6
76	его в	2	6
77	слово в	3	6
78	с тем	6	6
79	что он	6	6
80	в силу	6	6
81	той же	3	6
82	можно было	11	6
83	в частности	2	5
84	целый ряд	4	5
85	это не	3	5
86	что такое	4	5
87	увидим что	2	5
88	если бы	8	5
89	и к	3	5
90	все же	5	5
91	и того	2	5
92	о том	6	5
93	речь идет	3	5
94	так и	6	5
95	как в	4	5
96	для того	12	5
97	все эти	7	5
98	слова и	7	5
99	в нашем	7	4
100	тому что	4	4
101	в своем	4	4
102	для нас	4	4
103	на том	2	4
104	в первую	3	4
105	и только	3	4
106	с этой	3	4
107	как они	2	4
108	как он	2	4
109	и с	3	4
110	состоит в	2	4
111	и при	2	4
112	по своему	2	4
113	первую очередь	3	4
114	в сущности	4	4
115	только что	2	4
116	тем же	2	4
117	не в	5	4
118	во всяком	2	4
119	которые в	4	4
120	в области	14	4
121	на этом	2	3
122	не могут	5	3
123	не менее	12	3
124	одним и	2	3
125	в этих	2	3
126	в какой	3	3
127	формы и	3	3
128	что все	2	3
129	значении слова	2	3
130	от того	5	3
131	в условиях	2	3
132	в виду	8	3
133	один из	4	3
134	в связи	5	3
135	то обстоятельство	3	3
136	именно в	3	3
137	столь же	4	3
138	должно быть	7	3
139	обстоятельство что	3	3
140	но в	2	3
141	отнюдь не	3	3
142	не означает	2	3
143	этом случае	4	3
144	по существу	3	3
145	чем в	2	3
146	но не	3	3
147	бы сказать	3	3
148	когда он	2	3
149	внимание на	2	3
150	совершенно не	5	3
151	на этот	2	3
152	нас к	2	3
153	нас в	3	3
154	ни в	3	3
155	различие в	2	3
156	связи с	6	3
157	в чем	5	3
158	такой же	2	2
159	том числе	2	2
160	должна быть	3	2
161	слов то	2	2
162	мы называем	2	2
163	прежде всего	9	2
164	что на	3	2
165	мы найдем	2	2
166	что если	2	2
167	в нашей	4	2
168	что это	3	2
169	том чтобы	4	2
170	но для	3	2
171	в ней	3	2
172	не по	3	2
173	вопросе о	2	2
174	данном случае	4	2
175	отличается от	2	2
176	в отличие	2	2
177	он имеет	2	2
178	не просто	2	2
179	они не	3	2
180	не имеет	3	2
181	а в	5	2
182	не знает	2	2
183	также и	5	2
184	к другой	2	2
185	в данном	7	2
186	из этих	5	2
187	и здесь	2	2
188	но как	3	2
189	что эти	2	2
190	когда мы	3	2
191	понятие о	2	2
192	мы имеем	2	2
193	в известном	2	2
194	это в	2	2
195	что слово	3	2
196	ясно что	4	2
197	зависимости от	8	2
198	еще не	9	2
199	в данной	3	2
200	свое время	2	2
201	никак не	2	2
202	далеко не	5	2
203	в свое	2	2
204	а также	4	2
205	не есть	3	2
206	мысли и	2	2
207	в языке	7	2
208	связь между	3	2
209	того как	7	2
210	а с	3	2
211	в той	4	2
212	последнего времени	2	2
213	может служить	2	2
214	в слове	4	2
215	в таком	4	2
216	тому как	2	2
217	в каком	3	2
218	вопроса о	3	2
219	здесь не	2	2
220	из ряда	2	2
221	в значении	2	2
222	отличие от	2	2
