N	2gram	Losev_Vlad_2	TeoriaLi
1	не только	12	18
2	и не	18	16
3	я в	3	16
4	а в	11	14
5	в частности	2	13
6	и в	30	13
7	может быть	7	12
8	так и	5	12
9	то есть	7	12
10	при этом	5	11
11	в этом	20	11
12	в том	18	11
13	но не	3	10
14	а не	7	10
15	и его	6	10
16	в его	11	9
17	то же	4	9
18	что в	12	8
19	такого рода	2	8
20	но и	8	8
21	себя в	2	7
22	в себе	6	7
23	том что	12	7
24	во второй	2	7
25	в отличие	3	7
26	в данном	3	7
27	точки зрения	7	7
28	в то	9	7
29	только в	6	7
30	как это	7	7
31	отличие от	3	7
32	с его	4	6
33	же время	3	6
34	как бы	5	6
35	но в	8	6
36	однако в	2	5
37	в своем	8	5
38	а также	10	5
39	как и	5	5
40	не в	9	5
41	в самом	2	5
42	в нем	4	5
43	данном случае	2	5
44	как в	3	5
45	а а	3	5
46	он не	4	5
47	уже не	3	5
48	не менее	7	4
49	не столько	3	4
50	в свою	3	4
51	в стихотворении	2	4
52	можно сказать	4	4
53	ни в	7	4
54	более или	3	4
55	в своей	5	4
56	то что	20	4
57	отношение к	4	4
58	или менее	3	4
59	в их	2	4
60	не может	9	4
61	сказать что	11	4
62	хотя и	6	4
63	но он	3	4
64	никогда не	7	3
65	в этих	4	3
66	со своей	2	3
67	в отношении	3	3
68	прежде всего	6	3
69	и к	6	3
70	тем не	6	3
71	свою очередь	2	3
72	по своему	2	3
73	для него	9	3
74	того что	5	3
75	и сам	2	3
76	и потому	2	3
77	таким образом	3	3
78	именно в	4	3
79	и вот	3	3
80	и что	5	3
81	и по	2	3
82	и то	5	3
83	потому что	9	3
84	что можно	3	3
85	на меня	2	3
86	в этой	4	3
87	его в	4	3
88	все эти	5	3
89	я не	4	2
90	о чем	6	2
91	в конце	13	2
92	жизни в	2	2
93	того же	5	2
94	это не	2	2
95	вовсе не	4	2
96	по себе	5	2
97	что он	13	2
98	к тому	2	2
99	об этом	6	2
100	существующее в	2	2
101	это тоже	2	2
102	и как	3	2
103	казалось бы	2	2
104	и больше	3	2
105	о своем	2	2
106	о в	2	2
107	к его	2	2
108	здесь мы	3	2
109	в виду	2	2
110	так или	3	2
111	даже в	2	2
112	к числу	2	2
113	и особенно	3	2
114	к нему	2	2
115	в целом	4	2
116	во всех	3	2
117	вместе с	8	2
118	со стороны	4	2
119	а именно	6	2
120	не на	2	2
121	здесь не	4	2
122	как к	2	2
123	собственно говоря	2	2
124	и для	3	2
125	в году	24	2
126	в той	2	2
127	и о	4	2
128	с точки	3	2
129	и даже	10	2
130	и притом	2	2
131	так же	4	2
132	или иначе	3	2
133	их в	2	2
134	у него	19	2
135	как будто	2	2
136	о том	4	2
137	и это	3	2
138	в чем	2	2
139	в которой	4	2
140	отношения к	3	2
141	в области	3	2
142	я и	2	2
143	это было	4	2
144	для меня	4	2
