N	2gram	Bakhtin_fo_2	Mirosoze
1	и в	46	46
2	в нем	5	22
3	у него	9	22
4	может быть	7	21
5	в этом	22	20
6	никогда не	6	18
7	для него	3	18
8	и не	9	18
9	не только	11	18
10	но и	9	15
11	не может	2	15
12	человека в	6	14
13	как и	8	13
14	а не	4	13
15	прежде всего	14	12
16	потому что	8	12
17	не было	3	11
18	но он	2	11
19	у нас	2	11
20	и он	4	11
21	та же	3	10
22	но в	10	10
23	он не	5	10
24	в себе	4	10
25	он был	2	9
26	не в	9	9
27	не знает	2	9
28	и есть	2	8
29	но это	2	8
30	как бы	10	8
31	в своем	5	8
32	так как	6	8
33	отношение к	3	8
34	она не	2	8
35	на земле	2	8
36	человека и	4	7
37	в мире	4	7
38	в этой	2	7
39	человеческой природы	2	7
40	человек не	2	7
41	что он	3	7
42	и к	2	7
43	и потому	2	7
44	как в	4	7
45	и для	9	7
46	так же	2	6
47	того что	3	6
48	жизни и	8	6
49	то же	8	5
50	в отношении	2	5
51	что все	2	5
52	и вот	2	5
53	совсем не	2	5
54	один из	2	5
55	те же	6	5
56	это не	2	5
57	в конце	2	5
58	и все	6	5
59	в духе	2	5
60	бога и	2	5
61	к тому	3	5
62	то что	7	5
63	для того	8	5
64	и его	12	5
65	в его	8	5
66	и это	2	5
67	что в	5	4
68	все что	2	4
69	до конца	2	4
70	в царстве	2	4
71	также и	4	4
72	том что	4	4
73	что и	3	4
74	так и	7	4
75	уже не	3	4
76	того чтобы	8	4
77	у них	2	4
78	жизнь и	3	4
79	человек в	2	3
80	себя и	3	3
81	и от	2	3
82	в образе	4	3
83	одна и	2	3
84	в том	10	3
85	что они	4	3
86	смысле слова	2	3
87	для чего	2	3
88	и всегда	2	3
89	жизни в	4	3
90	не для	2	3
91	не мог	2	3
92	и на	7	3
93	людей и	2	3
94	и с	6	3
95	о том	4	3
96	его в	6	3
97	как он	2	3
98	с ним	4	3
99	и должно	2	3
100	они были	2	3
101	в них	7	3
102	и во	6	3
103	что было	3	3
104	есть и	4	3
105	до сих	2	3
106	сих пор	2	3
107	тем что	3	3
108	только в	11	3
109	место в	4	2
110	уже в	4	2
111	не был	2	2
112	мы еще	3	2
113	в этих	3	2
114	жизни она	2	2
115	ее и	2	2
116	или иной	2	2
117	но эта	2	2
118	так что	4	2
119	как у	3	2
120	жизни а	2	2
121	хотя и	3	2
122	отношения к	4	2
123	у всех	2	2
124	чем не	2	2
125	и других	2	2
126	лишь в	2	2
127	должно быть	5	2
128	а в	3	2
129	к себе	4	2
130	он так	2	2
131	в основе	6	2
132	точки зрения	10	2
133	самим собою	2	2
134	на этом	2	2
135	и та	2	2
136	него и	2	2
137	и самое	4	2
138	по себе	2	2
139	мы видим	2	2
140	то в	2	2
141	связи с	8	2
142	тот же	3	2
143	в сущности	2	2
144	во всех	11	2
145	принадлежит к	2	2
146	вместе с	9	2
147	быть и	2	2
148	ее в	3	2
149	человеческой жизни	4	2
150	еще более	4	2
151	от этого	2	2
152	еще вернемся	3	2
