N	2gram	Losev_Dial_3	Literetu
1	не только	23	24
2	при этом	2	19
3	но и	9	17
4	а не	26	16
5	в том	5	16
6	в частности	2	15
7	том что	8	14
8	может быть	13	13
9	и не	27	12
10	сознания в	2	12
11	в этом	8	12
12	прежде всего	8	11
13	в своем	3	11
14	то что	14	10
15	или иначе	2	9
16	так или	2	8
17	не в	3	8
18	и в	24	8
19	только в	5	8
20	как это	5	8
21	не менее	11	7
22	я не	6	7
23	в его	2	7
24	как бы	3	7
25	уже не	5	7
26	в себе	2	7
27	я и	2	7
28	и я	3	6
29	как и	7	6
30	себя в	2	6
31	того что	12	6
32	точки зрения	25	6
33	с его	2	5
34	с этой	5	5
35	что он	13	5
36	же в	2	5
37	же время	3	5
38	для себя	2	5
39	не может	19	5
40	то же	6	5
41	тем самым	3	5
42	в данном	2	5
43	в то	5	5
44	перестает быть	2	4
45	для этого	2	4
46	это не	4	4
47	о себе	2	4
48	в силу	3	4
49	но не	2	4
50	еще не	2	4
51	и тем	2	4
52	все же	3	4
53	из них	3	4
54	со стороны	2	4
55	так и	5	4
56	никогда не	7	4
57	друг друга	3	4
58	и его	5	4
59	как раз	7	4
60	в своих	2	4
61	мир в	3	4
62	в основе	3	3
63	не было	3	3
64	что в	7	3
65	и есть	16	3
66	с другой	4	3
67	что его	5	3
68	субъекта и	4	3
69	одна из	3	3
70	и прежде	3	3
71	например в	2	3
72	в самом	7	3
73	несмотря на	2	3
74	у него	2	3
75	же и	2	3
76	исходит из	2	3
77	жизни и	5	3
78	в их	2	3
79	при всем	4	3
80	а в	2	3
81	таким образом	13	3
82	еще и	2	3
83	этой точки	2	3
84	и даже	13	3
85	той же	3	3
86	потому что	7	3
87	во всяком	2	3
88	одно из	5	3
89	он и	3	3
90	но в	2	3
91	также и	2	3
92	в виду	7	3
93	на этом	2	2
94	этого не	2	2
95	как все	3	2
96	должна быть	6	2
97	отнюдь не	10	2
98	превращается в	6	2
99	из этих	2	2
100	мир и	3	2
101	их не	2	2
102	подобно тому	4	2
103	раз и	3	2
104	и нет	7	2
105	к тому	4	2
106	тем не	10	2
107	тому же	2	2
108	или иной	4	2
109	особого рода	3	2
110	для него	4	2
111	от своего	2	2
112	одной стороны	3	2
113	было бы	5	2
114	за пределы	3	2
115	и является	2	2
116	всяком случае	2	2
117	он один	2	2
118	говоря уже	2	2
119	в нем	3	2
120	то это	9	2
121	не есть	54	2
122	если оно	4	2
123	в сущности	10	2
124	только на	7	2
125	не говоря	2	2
126	то и	3	2
127	не на	6	2
128	и только	6	2
129	или нет?	2	2
130	с одной	3	2
131	все эти	3	2
132	из того	2	2
133	имеется в	3	2
134	от себя	4	2
135	самом деле	6	2
136	что не	5	2
137	что такое	21	2
138	хотя бы	4	2
139	с точки	14	2
140	что для	5	2
141	в слове	3	2
142	в сферу	3	2
143	от самого	2	2
144	объект и	2	2
145	тому как	4	2
146	и то	4	2
147	тем более	3	2
148	нового времени	2	2
149	тем что	3	2
150	могут быть	2	2
151	на себя	3	2
152	более не	2	2
153	о том	6	2
154	нет ничего	9	2
155	а для	2	2
