N	3gram	Vinokur_Vv_1	Psycholo
1	для того чтобы	21	19
2	в том что	12	12
3	о том что	12	10
4	в самом деле	5	7
5	то же самое	2	6
6	что в нем	2	5
7	с точки зрения	2	4
8	можно было бы	3	4
9	смысле этого слова	2	3
10	и в этом	3	3
11	точно так же	2	3
12	и т п	5	3
13	во всяком случае	3	3
14	в конце концов	2	3
15	сама по себе	3	3
16	с одной стороны	4	3
17	до сих пор	5	3
18	в том чтобы	5	3
19	заключается в том	3	3
20	же самое что	2	2
21	и той же	2	2
22	вместе с тем	3	2
23	потому что он	2	2
24	и т д	37	2
25	как она есть	2	2
26	с другой стороны	5	2
27	и в самом	3	2
28	что может быть	3	2
29	одной и той	2	2
