N	2gram	Tiupa_Lite_1	Psycholo
1	и в	8	38
2	то что	10	35
3	в том	16	25
4	в самом	3	25
5	самом деле	2	21
6	что в	3	20
7	может быть	13	19
8	точки зрения	6	16
9	то есть	6	15
10	том что	14	14
11	как бы	7	14
12	потому что	3	14
13	в этой	4	13
14	в этом	12	13
15	было бы	2	12
16	не только	24	12
17	таким образом	3	12
18	не в	8	12
19	что он	5	11
20	в сущности	2	10
21	то же	5	10
22	и не	12	10
23	с точки	2	9
24	все же	4	8
25	как и	6	8
26	как раз	4	8
27	и то	2	8
28	с другой	3	7
29	а не	16	7
30	не может	5	7
31	а в	3	7
32	между тем	2	7
33	из них	4	6
34	к тому	2	6
35	один из	3	6
36	с одной	2	6
37	как это	8	6
38	и его	4	6
39	о том	2	6
40	я не	7	5
41	казалось бы	5	5
42	должна быть	2	5
43	в своем	11	5
44	на этом	2	5
45	одной стороны	2	5
46	несмотря на	3	5
47	в своей	4	5
48	но и	17	5
49	в другом	2	5
50	в его	7	5
51	никогда не	4	4
52	при этом	19	4
53	не мог	3	4
54	в нем	2	4
55	в целом	8	4
56	как в	5	4
57	все эти	2	4
58	того что	6	4
59	и даже	3	4
60	в своих	4	4
61	у него	3	4
62	только в	8	4
63	как будто	2	4
64	одна из	3	4
65	в себе	7	4
66	в виду	3	4
67	та же	2	3
68	из этих	2	3
69	того же	2	3
70	в основе	3	3
71	должен быть	2	3
72	не к	2	3
73	то и	2	3
74	и только	2	3
75	бы не	3	3
76	что не	2	3
77	и тем	4	3
78	тем что	2	3
79	состоит в	11	3
80	далеко не	3	3
81	в то	5	3
82	на это	2	3
83	его в	3	3
84	но в	3	3
85	одного из	3	2
86	в данном	5	2
87	как все	2	2
88	русской поэзии	5	2
89	все более	2	2
90	отнюдь не	2	2
91	все они	2	2
92	хотя бы	2	2
93	столь же	4	2
94	с этой	5	2
95	и я	6	2
96	во всяком	3	2
97	же в	5	2
98	уже не	7	2
99	в силу	4	2
100	аналогии с	3	2
101	только то	2	2
102	для него	2	2
103	от своего	2	2
104	мы в	2	2
105	например в	3	2
106	по преимуществу	4	2
107	всяком случае	2	2
108	для этого	4	2
109	то это	2	2
110	дело не	2	2
111	данном случае	4	2
112	со стороны	4	2
113	по выражению	2	2
114	что его	3	2
115	по аналогии	3	2
116	еще и	3	2
117	для читателя	2	2
118	к смерти	2	2
119	той же	3	2
120	в качестве	17	2
121	в конце	4	2
122	одно из	3	2
123	к себе	3	2
124	представляет собой	4	2
125	в русской	10	2
126	поэзии и	2	2
