N	2gram	Nazirov_Vr_1	VeschiIm
1	т е	3	42
2	не может	2	33
3	не только	9	31
4	может быть	4	29
5	и не	5	28
6	и в	8	26
7	то что	7	24
8	что я	2	16
9	и что	8	13
10	но и	7	12
11	все же	6	12
12	и то	2	12
13	и ее	2	12
14	таким образом	2	11
15	с нею	2	11
16	то же	5	10
17	уже не	2	10
18	в ней	4	10
19	как бы	4	10
20	в том	3	9
21	и с	6	9
22	на то	3	8
23	но это	2	8
24	в себе	2	8
25	и это	2	8
26	в то	5	7
27	его в	3	7
28	том что	3	7
29	как раз	2	7
30	в этом	8	7
31	и как	3	6
32	что в	7	6
33	для него	2	6
34	точки зрения	2	6
35	но в	6	6
36	с ним	4	6
37	не менее	2	5
38	это не	4	5
39	еще не	2	5
40	а в	2	5
41	отнюдь не	2	5
42	в свою	2	5
43	одна из	2	5
44	в чем	3	5
45	я не	3	4
46	в своем	3	4
47	как же	2	4
48	же время	5	4
49	из них	2	4
50	что есть	3	4
51	и даже	6	4
52	о том	4	4
53	и все	7	4
54	как и	6	4
55	и о	3	4
56	его на	2	4
57	с точки	2	4
58	тем что	3	4
59	же не	2	4
60	никогда не	2	3
61	несмотря на	4	3
62	в нем	6	3
63	отношение к	2	3
64	все это	4	3
65	отношения к	2	3
66	их в	2	3
67	к себе	2	3
68	но как	2	3
69	на это	2	3
70	что он	4	3
71	в своей	2	3
72	вместе с	2	3
73	а с	2	3
74	в той	2	3
75	тем более	2	3
76	его и	2	2
77	в виду	4	2
78	и уже	3	2
79	не мог	2	2
80	так же	4	2
81	в своих	4	2
82	о которой	2	2
83	о чем	2	2
84	и во	3	2
85	в одну	2	2
86	наряду с	3	2
87	об этом	5	2
88	он не	3	2
89	– это	6	2
90	тогда как	2	2
91	в в	2	2
92	об их	2	2
93	и его	3	2
