N	2gram	Losev_Dial_3	RusskieA
1	и в	24	36
2	не только	23	22
3	что в	7	19
4	том что	8	19
5	в том	5	17
6	т е	48	17
7	но и	9	16
8	так как	6	15
9	в этом	8	12
10	это не	4	10
11	как мы	2	10
12	как и	7	10
13	и т	24	10
14	и на	3	10
15	потому что	7	10
16	об этом	6	9
17	т д	23	9
18	а в	2	9
19	у нас	4	8
20	из них	3	8
21	может быть	13	8
22	и по	2	8
23	е в	4	8
24	о том	6	8
25	как это	5	8
26	что и	6	7
27	так и	5	7
28	и не	27	6
29	для нас	2	6
30	при этом	2	6
31	в них	5	6
32	уже не	5	6
33	таким образом	13	6
34	мы не	5	6
35	все это	6	6
36	не имеет	11	6
37	в виде	8	6
38	то что	14	6
39	показывает что	2	5
40	все же	3	5
41	как бы	3	5
42	и у	2	5
43	одно из	5	5
44	тому что	4	4
45	из этих	2	4
46	к тому	4	4
47	по существу	2	4
48	одна из	3	4
49	еще не	2	4
50	в их	2	4
51	так в	2	4
52	не может	19	4
53	и что	15	4
54	того что	12	4
55	что этот	2	4
56	но это	5	4
57	тем что	3	4
58	только в	5	4
59	не менее	11	3
60	что это	12	3
61	в своем	3	3
62	чаще всего	2	3
63	но они	2	3
64	думать что	2	3
65	и к	5	3
66	тем не	10	3
67	на этом	2	3
68	не можем	2	3
69	несмотря на	2	3
70	только на	7	3
71	на небо	2	3
72	то же	6	3
73	с точки	14	3
74	так же	4	3
75	ничего не	17	3
76	их в	2	3
77	точки зрения	25	3
78	как например	2	3
79	не было	3	2
80	в частности	2	2
81	могут быть	2	2
82	в разные	2	2
83	но даже	3	2
84	что у	2	2
85	с этим	3	2
86	и потому	2	2
87	не просто	18	2
88	их не	2	2
89	что именно	3	2
90	в нем	3	2
91	не что	6	2
92	у него	2	2
93	так что	8	2
94	и как	8	2
95	в силу	3	2
96	но не	2	2
97	быть и	3	2
98	но что	7	2
99	она не	3	2
100	отнюдь не	10	2
101	например в	2	2
102	в ней	2	2
103	на что	2	2
104	в его	2	2
105	не значит	3	2
106	обычно не	2	2
107	нас к	2	2
108	и с	6	2
109	как не	2	2
110	его как	3	2
111	значит что	24	2
112	но она	3	2
113	природы и	2	2
114	что она	9	2
115	для этого	2	2
116	не на	6	2
117	в особенности	7	2
118	все эти	3	2
119	а мы	3	2
120	а не	26	2
121	и пр	6	2
122	и для	2	2
123	или в	2	2
124	в своих	2	2
125	хотя и	5	2
126	себя и	2	2
127	на себя	3	2
128	и здесь	2	2
129	что иное	6	2
130	но в	2	2
131	они могли	2	2
132	иное как	6	2
