N	2gram	Tiupa_Teor_1	Tvorches
1	и в	18	20
2	в романе	3	15
3	не только	16	13
4	никогда не	4	11
5	как бы	5	11
6	в его	6	10
7	таким образом	3	10
8	в то	6	10
9	и его	8	9
10	и не	13	9
11	прежде всего	2	8
12	в том	16	8
13	при этом	12	8
14	но и	9	8
15	может быть	17	8
16	в этом	8	8
17	это не	2	7
18	же время	5	7
19	что в	9	7
20	не может	4	7
21	то же	7	7
22	потому что	3	7
23	в конце	2	6
24	как и	4	6
25	в целом	3	6
26	в своей	6	6
27	так и	10	6
28	все это	2	6
29	именно в	3	6
30	а не	9	6
31	в мире	19	5
32	еще не	4	5
33	но не	9	5
34	и даже	2	5
35	так же	2	5
36	в этой	3	5
37	то есть	12	5
38	об этом	2	4
39	в душе	8	4
40	в соответствии	3	4
41	том что	9	4
42	соответствии с	2	4
43	отнюдь не	3	4
44	первой части	2	4
45	хотя и	3	4
46	что она	2	4
47	как в	5	4
48	а а	5	4
49	все эти	2	4
50	тем самым	4	4
51	в принципе	4	4
52	не в	7	4
53	а в	13	4
54	и потому	2	4
55	если бы	3	4
56	но в	9	4
57	место в	5	3
58	а с	3	3
59	казалось бы	2	3
60	жизни в	2	3
61	превращается в	2	3
62	отношению к	4	3
63	для него	2	3
64	одной из	2	3
65	своего рода	7	3
66	в самом	4	3
67	он не	3	3
68	не является	4	3
69	по сути	2	3
70	один из	2	3
71	в нем	4	3
72	то что	3	3
73	и это	2	3
74	вместе с	2	3
75	в их	2	3
76	по отношению	4	3
77	тогда как	15	3
78	уже не	4	3
79	одним из	2	3
80	в рассказе	2	3
81	в себе	9	3
82	его в	2	3
83	между тем	5	3
84	ни к	3	2
85	не менее	4	2
86	личности в	3	2
87	с другой	7	2
88	или даже	4	2
89	в одном	2	2
90	я не	2	2
91	вовсе не	3	2
92	и ее	3	2
93	в литературе	2	2
94	в ее	5	2
95	в искусстве	6	2
96	у нас	2	2
97	роман и	2	2
98	в произведениях	2	2
99	в частности	16	2
100	видим в	2	2
101	к жизни	2	2
102	себя в	6	2
103	в первой	5	2
104	по преимуществу	4	2
105	приводит к	5	2
106	так в	4	2
107	в отличие	6	2
108	сводится к	5	2
109	и что	3	2
110	может служить	2	2
111	другой стороны	5	2
112	и по	2	2
113	роль в	2	2
114	с другими	5	2
115	имеет в	2	2
116	не случайно	5	2
117	в основе	3	2
118	могут быть	4	2
119	в которой	2	2
120	говорить о	3	2
121	только в	6	2
122	как правило	4	2
123	в русской	6	2
124	героя и	5	2
125	их в	3	2
126	отличие от	6	2
127	к которому	3	2
