N	3gram	Vinokur_St_1	KulturaY
1	и т п	9	18
2	в том что	17	15
3	для того чтобы	10	15
4	и т д	21	14
5	с точки зрения	8	9
6	по отношению к	3	8
7	то обстоятельство что	2	8
8	в самом деле	5	7
9	с другой стороны	6	6
10	мере в какой	2	5
11	по крайней мере	2	5
12	в этом отношении	7	5
13	о том что	11	5
14	во всяком случае	6	5
15	до сих пор	7	4
16	что же касается	3	4
17	не в том	2	4
18	тем не менее	2	4
19	только в том	3	3
20	можно было бы	8	3
21	не может быть	5	3
22	того или иного	4	3
23	в первую очередь	2	2
24	т е в	2	2
25	то же время	4	2
26	хотя бы и	2	2
27	т д и	2	2
28	и в самом	3	2
29	в свое время	2	2
30	так и в	4	2
31	на то что	4	2
32	в иных случаях	2	2
33	в то же	4	2
34	чуть ли не	2	2
35	на самом деле	6	2
36	речь идет о	2	2
37	в данном отношении	5	2
38	так или иначе	2	2
39	заключается в том	3	2
40	но все же	3	2
41	в этом случае	2	2
