N	2gram	Potebnia_M_1	Morfolog
1	может быть	27	52
2	и т	6	49
3	т д	4	47
4	таким образом	13	20
5	не может	22	17
6	в этих	7	16
7	могут быть	9	15
8	с этим	7	14
9	и в	39	13
10	в этом	15	13
11	так как	21	12
12	мы видим	4	11
13	связи с	3	11
14	заметить что	2	10
15	прежде всего	4	9
16	так и	13	9
17	то же	6	9
18	и не	18	9
19	а не	21	9
20	с другой	7	8
21	что и	6	8
22	при помощи	2	8
23	вопрос о	4	7
24	но если	2	7
25	все же	6	7
26	или же	3	7
27	это не	7	6
28	не могут	4	6
29	в том	26	6
30	но не	8	6
31	а в	5	6
32	подобно тому	3	6
33	не менее	6	5
34	тому как	4	5
35	если мы	3	5
36	мы увидим	3	5
37	во всех	5	5
38	как бы	6	5
39	не все	2	5
40	то что	10	5
41	или в	2	5
42	потому что	52	5
43	мы не	10	5
44	что в	22	4
45	и как	6	4
46	вовсе не	5	4
47	его самого	2	4
48	тем не	6	4
49	отношению к	13	4
50	было бы	12	4
51	несмотря на	5	4
52	ни одна	2	4
53	не только	21	4
54	то это	5	4
55	как в	10	4
56	как мы	2	4
57	другой стороны	5	4
58	так же	5	4
59	по отношению	13	4
60	как и	9	4
61	там где	4	4
62	то мы	2	4
63	хотя и	3	4
64	тем что	9	4
65	точки зрения	8	4
66	с точки	3	4
67	видно что	2	4
68	могла бы	2	4
69	в других	2	4
70	только что	2	3
71	прежде чем	3	3
72	независимо от	6	3
73	если бы	14	3
74	в начале	2	3
75	он должен	2	3
76	же в	2	3
77	том что	16	3
78	но все	2	3
79	но это	5	3
80	в целом	2	3
81	того чтобы	2	3
82	в сущности	2	3
83	во втором	5	3
84	он не	3	3
85	в первом	5	3
86	но и	20	3
87	на него	3	3
88	от того	4	3
89	и по	6	3
90	и для	5	3
91	друг друга	5	3
92	мы можем	2	3
93	в то	4	3
94	быть названо	3	3
95	мы должны	3	3
96	в один	2	3
97	если же	5	3
98	но в	9	3
99	и более	2	2
100	с тем	5	2
101	однако в	4	2
102	хотя бы	2	2
103	точно так	11	2
104	в собственном	2	2
105	так например	3	2
106	то в	5	2
107	и при	3	2
108	только в	25	2
109	от него	4	2
110	что до	2	2
111	для него	4	2
112	одной стороны	3	2
113	никто не	3	2
114	в таких	2	2
115	оно не	3	2
116	эти формы	2	2
117	не существует	2	2
118	но эти	2	2
119	вопроса о	2	2
120	есть нечто	4	2
121	как например	2	2
122	и только	2	2
123	с одной	3	2
124	и наоборот	6	2
125	можно заметить	2	2
126	перейти к	2	2
127	и что	10	2
128	того что	8	2
129	для того	3	2
130	уже не	2	2
131	тем же	2	2
132	не имеет	5	2
133	и его	5	2
134	как эти	2	2
135	можно бы	4	2
136	в каком	6	2
137	этот вопрос	2	2
138	самого себя	4	2
139	что мы	4	2
140	о том	2	2
141	сказать что	3	2
142	он старается	2	2
143	бы они	2	2
