N	2gram	Tiupa_Disk_2	Marksizm
1	может быть	16	28
2	и в	16	19
3	как бы	4	19
4	и не	15	19
5	не может	9	18
6	точки зрения	4	17
7	то же	6	16
8	и его	3	16
9	в этом	16	15
10	не только	10	13
11	с точки	2	13
12	в нем	7	11
13	не в	3	10
14	в пределах	4	10
15	но и	11	10
16	том что	10	10
17	так и	9	10
18	и т.п	12	10
19	речи в	2	10
20	для него	5	9
21	при этом	17	9
22	в основе	4	9
23	как и	16	9
24	на почве	2	9
25	а не	14	9
26	отнюдь не	6	8
27	же время	5	8
28	не является	4	8
29	по отношению	4	8
30	в то	5	8
31	с его	6	8
32	отношению к	4	8
33	только в	3	8
34	никогда не	2	7
35	в том	8	7
36	его в	3	7
37	но в	11	7
38	прежде всего	7	7
39	внутренней речи	3	7
40	в языке	2	7
41	и для	2	7
42	ни в	7	6
43	и как	3	6
44	и все	3	6
45	между тем	2	6
46	в большинстве	2	5
47	или иной	3	5
48	является не	2	5
49	в контексте	3	5
50	и на	5	5
51	к этому	4	5
52	и того	3	5
53	того же	2	5
54	в его	3	5
55	все же	6	5
56	в той	2	5
57	в данном	7	5
58	должна быть	2	4
59	это не	3	4
60	одного и	3	4
61	в формах	2	4
62	той или	3	4
63	то что	5	4
64	что он	2	4
65	для себя	2	4
66	и ее	3	4
67	в себе	19	4
68	перед нами	3	3
69	в этих	3	3
70	столь же	3	3
71	с другой	5	3
72	в этой	4	3
73	одной стороны	4	3
74	в ней	2	3
75	в котором	3	3
76	а в	2	3
77	с одной	4	3
78	все эти	3	3
79	в другом	3	3
80	должно быть	2	3
81	не было	3	3
82	о том	4	3
83	интонации и	2	3
84	в качестве	16	3
85	одно и	2	3
86	еще не	6	3
87	не к	2	3
88	он не	3	3
89	что и	2	3
90	в своей	6	3
91	в отличие	12	3
92	в становлении	3	3
93	той же	2	3
94	и то	4	3
95	могут быть	3	3
96	и это	2	3
97	отличие от	12	3
98	место в	2	2
99	что в	5	2
100	неотделим от	2	2
101	не знает	3	2
102	из важнейших	2	2
103	о чем	2	2
104	общения и	2	2
105	жизни и	3	2
106	в своем	5	2
107	именно в	2	2
108	как на	3	2
109	не следует	3	2
110	и с	2	2
111	к его	4	2
112	то есть	12	2
113	стремится к	2	2
114	и чужого	2	2
115	и всякое	2	2
116	или иного	2	2
117	стороны и	2	2
118	не с	2	2
119	но не	7	2
120	подход к	3	2
121	здесь в	3	2
122	себя в	6	2
123	приводит к	3	2
124	и прежде	2	2
125	не на	2	2
126	а с	5	2
127	на языке	2	2
128	сводится к	2	2
129	об одном	3	2
130	себя с	2	2
131	далеко не	2	2
132	вместе с	2	2
