N	2gram	Berdyaev_N_1	DiskursI
1	в себе	2	19
2	и в	16	16
3	может быть	7	16
4	как и	7	16
5	в этом	7	16
6	и не	11	15
7	а не	17	14
8	и т.п	2	12
9	в мире	3	11
10	но и	3	11
11	но в	2	11
12	том что	2	10
13	не только	5	10
14	такого рода	2	9
15	так и	2	9
16	не может	16	9
17	в том	8	8
18	как в	3	8
19	не менее	4	7
20	прежде всего	4	7
21	в нем	5	7
22	ни в	6	7
23	но не	2	7
24	с его	6	6
25	себя в	2	6
26	еще не	3	6
27	в своей	3	6
28	ни к	2	5
29	что в	9	5
30	с другой	3	5
31	нового времени	12	5
32	то что	4	5
33	и на	2	5
34	в то	2	5
35	одной стороны	2	4
36	времени в	2	4
37	с одной	2	4
38	роль в	2	4
39	потому что	4	4
40	в основе	3	4
41	можно назвать	2	4
42	о том	4	4
43	мира и	2	4
44	жизни в	3	3
45	могут быть	2	3
46	в них	4	3
47	это не	4	3
48	и все	4	3
49	уже не	2	3
50	не в	6	3
51	он не	8	3
52	к жизни	3	3
53	жизни и	8	3
54	но она	2	3
55	не было	4	3
56	все эти	2	3
57	но это	6	3
58	не знает	6	3
59	как будто	2	3
60	место в	2	2
61	же как	2	2
62	жизни не	3	2
63	никогда не	6	2
64	переходе от	2	2
65	такой же	2	2
66	есть в	2	2
67	времени и	2	2
68	должна быть	3	2
69	с их	2	2
70	в ней	5	2
71	обращение к	2	2
72	с ее	5	2
73	наше время	4	2
74	не к	2	2
75	вместе с	2	2
76	все это	5	2
77	которых не	2	2
78	другой стороны	2	2
79	жизни как	2	2
80	и для	4	2
81	должно быть	4	2
82	а в	2	2
83	в наше	3	2
84	тому как	3	2
85	и с	2	2
86	подобно тому	3	2
87	стремится к	3	2
88	и это	2	2
