N	3gram	Vinokur_Vv_1	Problema
1	о том что	12	9
2	с точки зрения	2	8
3	в том что	12	8
4	в связи с	2	7
5	в конце концов	2	6
6	с другой стороны	5	5
7	до н э	6	5
8	тем не менее	8	5
9	по крайней мере	4	4
10	как будто бы	2	3
11	можно сказать что	3	3
12	и то что	2	3
13	не что иное	4	3
14	вместе с тем	3	3
15	в этом смысле	10	3
16	обратить внимание на	2	3
17	что иное как	4	3
18	с одной стороны	4	3
19	точно так же	2	3
20	после того как	2	3
21	также и в	2	2
22	в данном случае	4	2
23	по этому поводу	2	2
24	потому что он	2	2
25	дело в том	2	2
26	во всяком случае	3	2
27	в до н	2	2
28	но все же	3	2
29	не может быть	8	2
30	по отношению к	4	2
31	для того чтобы	21	2
32	тех или иных	3	2
33	до сих пор	5	2
