N	2gram	Ircho_Kome_2	Istorich
1	и в	26	24
2	что он	5	21
3	не только	7	21
4	и т	2	17
5	может быть	11	14
6	не может	3	14
7	в этих	4	13
8	что в	9	13
9	мы имеем	2	12
10	как в	3	12
11	в этом	10	12
12	и здесь	6	12
13	но и	10	11
14	это не	2	10
15	у него	4	10
16	том что	9	10
17	а в	3	10
18	и что	2	10
19	и другие	2	9
20	с другой	2	9
21	не в	2	9
22	все же	4	9
23	о том	6	9
24	потому что	6	9
25	еще не	6	8
26	что и	7	8
27	все это	3	8
28	то же	3	8
29	или в	3	8
30	так как	4	8
31	с собой	2	7
32	один из	5	7
33	в том	11	7
34	одна из	2	7
35	в первую	3	7
36	во всех	3	7
37	то что	6	7
38	вместе с	9	7
39	к нему	3	7
40	таким образом	6	7
41	тем что	3	6
42	с этой	3	6
43	об этом	2	6
44	для нас	3	6
45	как и	4	6
46	но не	3	6
47	в нем	6	6
48	он не	2	6
49	и все	2	6
50	во время	6	6
51	только в	4	6
52	как он	3	6
53	что это	4	6
54	ответ на	3	6
55	не менее	4	5
56	в тех	3	5
57	одной стороны	2	5
58	то это	2	5
59	отношение к	2	5
60	так и	12	5
61	с одной	2	5
62	что она	2	5
63	но в	3	5
64	что у	4	4
65	представления о	2	4
66	не всегда	2	4
67	вовсе не	2	4
68	но все	3	4
69	после того	2	4
70	своего отца	2	4
71	одной из	4	4
72	как бы	2	4
73	в их	3	4
74	если не	2	4
75	и не	14	4
76	не имеет	3	4
77	в других	2	4
78	мы не	2	4
79	так в	2	4
80	точки зрения	4	4
81	мы можем	3	4
82	уже в	4	3
83	после смерти	3	3
84	в ответ	2	3
85	с его	5	3
86	в другой	2	3
87	в качестве	5	3
88	в них	4	3
89	представление о	2	3
90	в образе	3	3
91	вопрос о	3	3
92	так что	5	3
93	после этого	2	3
94	и если	2	3
95	например в	3	3
96	не вполне	2	3
97	его в	4	3
98	сих пор	2	3
99	как мы	4	3
100	возможно что	3	3
101	и его	12	3
102	хотя и	4	3
103	из этих	4	3
104	связи с	3	3
105	в конце	2	3
106	того как	3	3
107	из самых	2	2
108	с дочерью	3	2
109	тому что	4	2
110	того же	3	2
111	и от	4	2
112	к этому	5	2
113	прежде всего	4	2
114	то ли	2	2
115	и ее	2	2
116	этом же	2	2
117	в то	6	2
118	мы знаем	3	2
119	ни в	5	2
120	в ее	2	2
121	что его	3	2
122	отец и	2	2
123	в силу	2	2
124	в руках	4	2
125	у нее	2	2
126	с женой	2	2
127	брак с	3	2
128	то время	3	2
129	тот же	2	2
130	было бы	8	2
131	в действительности	2	2
132	со своей	3	2
133	нет необходимости	2	2
134	в самом	4	2
135	что из	2	2
136	более поздние	2	2
137	восходит к	4	2
138	в котором	3	2
139	если в	2	2
140	на себя	7	2
141	от всех	2	2
142	со стороны	2	2
143	в многочисленных	2	2
144	не по	4	2
145	в связи	3	2
146	три года	2	2
147	и у	2	2
148	на этот	4	2
149	в которой	5	2
150	друг друга	3	2
151	как это	4	2
152	у того	2	2
153	время как	2	2
154	что по	2	2
155	из них	7	2
156	в одной	2	2
157	с этим	5	2
158	и на	7	2
159	и после	2	2
160	в один	2	2
161	и это	2	2
162	до сих	2	2
