N	2gram	Tiupa_Vved_1	RusskieA
1	и в	13	36
2	не только	20	22
3	что в	3	19
4	том что	7	19
5	в том	10	17
6	но и	19	16
7	в этом	21	12
8	в этот	2	10
9	это не	6	10
10	как мы	3	10
11	как и	11	10
12	и на	3	10
13	потому что	5	10
14	об этом	4	9
15	а в	6	9
16	состоит в	10	8
17	может быть	18	8
18	один из	3	8
19	и по	3	8
20	о том	5	8
21	что и	2	7
22	так и	8	7
23	представляют собой	3	7
24	и не	12	6
25	для нас	2	6
26	при этом	26	6
27	в них	2	6
28	уже не	5	6
29	таким образом	4	6
30	мы не	4	6
31	не имеет	2	6
32	то что	6	6
33	будто бы	3	6
34	все же	6	5
35	как будто	4	5
36	как бы	4	5
37	как в	4	5
38	из этих	3	4
39	к этому	2	4
40	к тому	6	4
41	что на	2	4
42	представляет собой	15	4
43	одна из	4	4
44	еще не	7	4
45	еще в	2	4
46	его с	2	4
47	во всех	2	4
48	так в	4	4
49	не может	7	4
50	а с	2	4
51	мы имеем	5	4
52	того что	6	4
53	но это	3	4
54	тем что	2	4
55	только в	6	4
56	слова в	2	3
57	не менее	4	3
58	начиная с	3	3
59	для них	3	3
60	о чем	2	3
61	в этих	3	3
62	в качестве	8	3
63	в своем	5	3
64	но они	2	3
65	в свою	4	3
66	и к	2	3
67	тем не	3	3
68	не можем	2	3
69	как правило	6	3
70	к ним	2	3
71	а также	8	3
72	если в	2	3
73	не с	3	3
74	своего рода	10	3
75	приводит к	2	3
76	то же	5	3
77	их в	2	3
78	то есть	8	3
79	далеко не	4	3
80	в области	3	3
81	не было	2	2
82	и более	3	2
83	в частности	13	2
84	могут быть	4	2
85	в нашем	6	2
86	между собой	2	2
87	в нем	5	2
88	в жизни	4	2
89	в силу	2	2
90	свою очередь	4	2
91	но не	5	2
92	быть и	2	2
93	до конца	3	2
94	отнюдь не	7	2
95	например в	2	2
96	имеет место	4	2
97	в ней	4	2
98	в его	4	2
99	и с	2	2
100	в целом	3	2
101	судя по	2	2
102	в е	2	2
103	как по	2	2
104	тогда как	10	2
105	должны были	2	2
106	в какой	4	2
107	на самом	4	2
108	а не	15	2
109	и для	3	2
110	с ним	3	2
111	в своих	2	2
112	мы можем	2	2
113	хотя и	7	2
114	между двумя	3	2
115	это время	2	2
116	но в	6	2
117	как он	2	2
