N	2gram	Medvedev_V_1	Vvedenie
1	и т	23	42
2	т д	14	36
3	т е	18	35
4	и в	26	32
5	в том	15	31
6	в этом	26	30
7	может быть	22	26
8	том что	8	26
9	не только	25	22
10	для того	3	21
11	того чтобы	3	20
12	таким образом	31	19
13	также и	2	18
14	то что	6	16
15	не может	17	14
16	в самом	4	13
17	в нем	6	13
18	о том	10	13
19	того что	3	12
20	в общем	2	12
21	в их	5	12
22	и не	19	12
23	как на	3	12
24	в его	14	12
25	только в	7	12
26	что такое	2	11
27	в ее	4	11
28	что в	10	10
29	но в	2	9
30	и как	3	9
31	между тем	5	9
32	этого рода	2	9
33	по себе	2	9
34	как об	2	9
35	то же	10	9
36	не менее	2	8
37	с другой	11	8
38	это не	7	8
39	не в	6	8
40	именно в	2	8
41	прежде всего	13	7
42	в большей	2	7
43	точки зрения	3	7
44	но не	2	7
45	было бы	7	7
46	все же	5	7
47	можно было	2	7
48	не могут	7	6
49	из этих	7	6
50	смысле слова	2	6
51	же время	5	6
52	том чтобы	2	6
53	один из	5	6
54	но и	10	6
55	все это	10	6
56	и даже	2	6
57	в то	6	6
58	его в	3	6
59	как он	2	6
60	с тем	3	6
61	представить себе	2	6
62	вовсе не	3	6
63	как и	7	6
64	в качестве	11	6
65	работы над	5	6
66	хотя бы	19	6
67	и его	6	6
68	этот вопрос	3	6
69	так например	2	5
70	как бы	5	5
71	в целом	4	5
72	а как	2	5
73	другой стороны	8	5
74	одним из	5	5
75	в которых	3	5
76	сказать что	5	5
77	в них	4	5
78	как например	2	5
79	об этом	9	5
80	вместе с	7	5
81	т п	9	5
82	в течение	2	5
83	а не	7	5
84	что не	3	5
85	могут быть	5	5
86	на вопрос	2	4
87	связана с	2	4
88	в каждом	2	4
89	как о	2	4
90	одной стороны	2	4
91	о чем	2	4
92	в котором	3	4
93	этот процесс	2	4
94	по отношению	7	4
95	в особенности	2	4
96	этом отношении	13	4
97	еще и	2	4
98	с одной	2	4
99	а в	3	4
100	даже и	3	4
101	как это	12	4
102	мы имеем	3	4
103	е в	2	4
104	по крайней	2	4
105	что он	4	4
106	и заключается	2	4
107	еще не	2	4
108	крайней мере	2	4
109	отношению к	7	4
110	в своей	4	4
111	только что	4	4
112	как раз	3	4
113	это только	4	4
114	и для	2	4
115	и ее	4	4
116	в себе	6	4
117	только с	2	4
118	он сам	2	3
119	зависит от	2	3
120	и есть	5	3
121	в частности	11	3
122	или меньшей	3	3
123	в конце	3	3
124	бы и	6	3
125	можно сказать	4	3
126	к тому	4	3
127	в этой	4	3
128	том отношении	2	3
129	большей или	3	3
130	от характера	2	3
131	хотя и	2	3
132	в ней	2	3
133	в конечном	7	3
134	не вполне	2	3
135	в виду	4	3
136	то это	2	3
137	мы видели	3	3
138	из них	9	3
139	что она	2	3
140	до нас	2	3
141	в своем	8	3
142	все эти	6	3
143	этой области	3	3
144	конечном итоге	2	3
145	заключается в	2	3
146	так же	3	3
147	в работе	3	3
148	в результате	5	3
149	говорить о	2	3
150	что даже	2	3
151	действительность в	2	3
152	при помощи	3	3
153	тогда когда	2	3
154	если бы	3	3
155	к этому	9	3
156	стороны и	2	3
157	в различных	2	3
158	и к	3	3
159	говорит о	7	3
160	связи с	4	3
161	в чем	2	3
162	отношении что	2	3
163	в одном	4	3
164	должен быть	4	3
165	что и	3	3
166	каждой из	2	3
167	на основании	8	3
168	но с	2	3
169	вот почему	4	3
170	в области	2	3
171	это делает	3	2
172	же как	2	2
173	никогда не	4	2
174	них не	4	2
175	тому что	6	2
176	или иной	2	2
177	из его	3	2
178	имеет свою	3	2
179	значительной мере	3	2
180	и др	9	2
181	после этого	2	2
182	от того	2	2
183	в форме	3	2
184	вообще и	2	2
185	в связи	3	2
186	не было	7	2
187	произведения и	7	2
188	должно быть	2	2
189	по его	2	2
190	не столько	2	2
191	не следует	8	2
192	чем же	4	2
193	с этим	3	2
194	он и	2	2
195	единого и	2	2
196	же самое	2	2
197	могут не	2	2
198	образом по	2	2
199	конце концов	2	2
200	бы в	3	2
201	так и	5	2
202	могло бы	2	2
203	по этому	9	2
204	у нас	2	2
205	по существу	3	2
206	и при	5	2
207	во всех	6	2
208	что мы	2	2
209	жизни и	3	2
210	себе и	2	2
211	ни одна	2	2
212	том же	6	2
213	него в	3	2
214	этому поводу	7	2
215	например что	3	2
216	в значительной	3	2
217	из которых	2	2
218	между ними	3	2
219	то о	2	2
220	другом месте	2	2
221	у них	2	2
222	тому как	2	2
223	в силу	11	2
224	подобно тому	2	2
225	в другом	2	2
226	познания и	4	2
227	будто бы	2	2
228	который по	2	2
229	одна из	4	2
230	что нет	2	2
