N	2gram	Potebnia_M_4	Istorich
1	и в	23	22
2	мы имеем	4	19
3	в этом	23	17
4	и т	7	16
5	т д	3	15
6	что в	17	15
7	не только	10	14
8	в лес	6	12
9	но и	11	12
10	и не	18	12
11	может быть	26	11
12	в этих	3	11
13	еще не	3	10
14	таким образом	24	10
15	но в	8	10
16	что он	4	9
17	в нем	7	9
18	что и	7	9
19	вместе с	6	9
20	в том	23	9
21	с этим	7	8
22	том что	12	8
23	мы видим	2	8
24	как мы	2	8
25	с другой	2	7
26	предположить что	4	7
27	то что	29	7
28	уже не	3	7
29	этих случаях	2	7
30	и здесь	2	7
31	мы должны	2	7
32	так как	14	7
33	там где	3	7
34	связи с	3	6
35	в них	3	6
36	это не	7	6
37	мы уже	3	6
38	не вполне	2	6
39	то и	4	6
40	а в	5	6
41	то же	14	6
42	в течение	2	6
43	а не	12	6
44	друг друга	2	6
45	так в	3	6
46	мы можем	10	6
47	во время	2	6
48	если бы	13	6
49	не менее	5	5
50	тем не	4	5
51	так что	5	5
52	до сих	4	5
53	есть и	2	5
54	один из	2	5
55	этом случае	5	5
56	что она	2	5
57	он не	2	5
58	здесь мы	2	5
59	того что	14	5
60	сих пор	4	5
61	к нему	5	5
62	могут быть	7	5
63	в другой	2	4
64	не всегда	3	4
65	у нас	2	4
66	не в	11	4
67	только в	15	4
68	в свою	2	4
69	она не	2	4
70	к ней	2	4
71	что на	2	4
72	отношение к	2	4
73	для нас	14	4
74	а именно	4	4
75	находится в	5	4
76	и его	2	4
77	и на	3	4
78	в данном	4	4
79	не может	11	4
80	тем что	10	4
81	и они	2	4
82	все эти	3	4
83	в других	2	4
84	и с	4	4
85	я не	2	3
86	состоит в	2	3
87	что у	3	3
88	превращается в	2	3
89	он все	2	3
90	и все	4	3
91	можно только	2	3
92	не что	2	3
93	к тому	3	3
94	и к	6	3
95	как и	14	3
96	и как	2	3
97	но это	3	3
98	за ним	2	3
99	все что	2	3
100	равно как	2	3
101	было бы	8	3
102	на его	3	3
103	между прочим	3	3
104	выше мы	2	3
105	в его	5	3
106	никогда не	3	3
107	быть и	2	3
108	данном случае	2	3
109	со стороны	3	3
110	все равно	3	3
111	на нее	3	3
112	на том	2	3
113	а мы	3	3
114	имеет свою	2	3
115	и у	2	3
116	а если	2	3
117	так же	4	3
118	с ними	3	3
119	иное как	2	3
120	сказать что	8	3
121	потому что	33	3
122	из этих	2	3
123	что иное	2	3
124	о том	8	3
125	его в	4	3
126	при помощи	3	3
127	их в	3	3
128	одном из	2	3
129	не было	12	2
130	с тем	7	2
131	независимо от	6	2
132	только не	3	2
133	и есть	3	2
134	и др	2	2
135	и так	3	2
136	связь и	2	2
137	но тем	2	2
138	точно так	2	2
139	в одном	4	2
140	вовсе не	7	2
141	вопрос о	2	2
142	можно сказать	4	2
143	во всяком	5	2
144	в нее	3	2
145	в силу	7	2
146	от него	2	2
147	и более	4	2
148	как в	7	2
149	при этом	15	2
150	можно видеть	2	2
151	после того	2	2
152	себе в	3	2
153	но есть	4	2
154	например в	3	2
155	и о	4	2
156	они могут	2	2
157	да и	4	2
158	хотя и	5	2
159	в ней	2	2
160	и потому	10	2
161	всяком случае	3	2
162	в котором	4	2
163	даже в	2	2
164	не имеет	5	2
165	не с	2	2
166	то это	8	2
167	отношению к	8	2
168	и это	2	2
169	нет ничего	3	2
170	так и	6	2
171	даже не	2	2
172	только на	4	2
173	по отношению	10	2
174	в своем	8	2
175	никто не	2	2
176	происходит в	2	2
177	образом мы	3	2
178	той же	3	2
179	еще более	2	2
180	на самом	3	2
181	этот вопрос	3	2
182	там же	3	2
183	образом в	5	2
184	и что	7	2
185	что не	6	2
186	и даже	2	2
187	есть только	5	2
188	и для	2	2
189	в которых	3	2
190	и то	5	2
191	то мы	3	2
192	между тем	9	2
193	в виде	2	2
194	точки зрения	4	2
195	известно что	6	2
196	в то	4	2
197	видно что	4	2
198	ту же	3	2
199	во многих	2	2
200	такая форма	2	2
201	большинстве случаев	2	2
202	что по	2	2
203	в наших	2	2
