N	2gram	Medvedev_F_2	Hudozhes
1	и в	38	28
2	том что	2	19
3	в ее	2	18
4	и не	20	18
5	в том	11	15
6	а не	6	14
7	не в	15	13
8	в этом	27	13
9	перед нами	2	11
10	как и	9	11
11	при этом	9	11
12	в его	10	11
13	не только	9	11
14	уже не	7	10
15	но и	13	9
16	что он	5	8
17	может быть	23	8
18	так и	8	8
19	между тем	2	8
20	и все	3	7
21	к тому	4	7
22	с ним	2	7
23	состоит в	2	7
24	как это	2	7
25	это не	2	6
26	в котором	2	6
27	то что	6	6
28	жизни и	3	6
29	в своей	7	6
30	если бы	5	6
31	то же	6	6
32	не было	6	6
33	сводится к	5	6
34	а в	6	6
35	и с	9	6
36	тем что	8	6
37	в то	5	6
38	с его	11	5
39	что это	3	5
40	и другие	2	5
41	как бы	4	5
42	как в	4	5
43	в этой	6	5
44	что в	7	5
45	она не	2	5
46	в самом	16	5
47	никогда не	2	5
48	только на	3	5
49	и его	21	5
50	для него	7	5
51	ничего не	4	5
52	тому что	2	4
53	превращается в	2	4
54	то в	2	4
55	но не	2	4
56	что они	4	4
57	в качестве	2	4
58	же время	5	4
59	в художественном	2	4
60	для того	3	4
61	и о	2	4
62	он не	6	4
63	для нее	2	4
64	что и	8	4
65	и т	14	4
66	как раз	6	4
67	то и	3	4
68	не может	14	4
69	того чтобы	3	4
70	только в	6	4
71	в других	7	4
72	все время	6	3
73	была бы	3	3
74	характерно что	2	3
75	столь же	2	3
76	с другой	3	3
77	с нею	2	3
78	прежде всего	15	3
79	в нем	13	3
80	и ее	6	3
81	что на	2	3
82	самом деле	8	3
83	как о	4	3
84	было бы	6	3
85	ни о	5	3
86	по преимуществу	5	3
87	в ней	6	3
88	в этих	2	3
89	со стороны	2	3
90	все это	3	3
91	на фоне	4	3
92	едва ли	2	3
93	или в	3	3
94	с другими	10	3
95	с ними	2	3
96	и на	3	3
97	и это	2	3
98	к нему	3	3
99	в основе	5	2
100	место в	3	2
101	сам он	2	2
102	т е	26	2
103	а о	3	2
104	отнюдь не	8	2
105	именно в	5	2
106	не столько	4	2
107	не как	4	2
108	и от	2	2
109	произведения не	3	2
110	из этих	3	2
111	вовсе не	11	2
112	а как	3	2
113	или иного	5	2
114	только тем	2	2
115	как мы	7	2
116	мы знаем	3	2
117	они были	2	2
118	же как	3	2
119	на этом	2	2
120	говорит в	5	2
121	но именно	3	2
122	со своей	2	2
123	что не	4	2
124	и к	4	2
125	того или	4	2
126	не по	2	2
127	же и	2	2
128	если в	3	2
129	не является	3	2
130	один из	2	2
131	оно не	4	2
132	это было	3	2
133	все же	8	2
134	не будет	2	2
135	в первом	7	2
136	отношение к	2	2
137	во второй	2	2
138	из них	4	2
139	вместе с	6	2
140	что же	5	2
141	приводит к	2	2
142	здесь не	4	2
143	т п	9	2
144	т д	5	2
145	лишь в	7	2
146	именно на	3	2
147	во втором	7	2
148	тем самым	2	2
149	между ними	2	2
150	хотя бы	6	2
151	и для	5	2
152	с точки	7	2
153	роль в	3	2
154	и то	2	2
155	сказать что	2	2
156	потому что	2	2
157	однако и	3	2
158	точки зрения	8	2
159	говорить о	5	2
160	и только	5	2
161	его в	3	2
162	та же	2	2
163	но в	4	2
