N	3gram	Vinokur_Ku_3	Myshleni
1	для того чтобы	11	14
2	по отношению к	2	12
3	в том что	8	11
4	с точки зрения	16	9
5	в известном смысле	2	7
6	о том что	3	4
7	сама по себе	2	4
8	и того же	2	3
9	письменной речи в	2	3
10	с одной стороны	4	3
11	можно было бы	10	3
12	одного и того	2	3
13	в этом случае	4	3
14	и тот же	2	3
15	до сих пор	8	3
16	один и тот	2	3
17	не может быть	3	3
18	и в области	3	2
19	в отличие от	2	2
20	в свое время	2	2
21	в самом деле	11	2
22	а с другой	3	2
23	потому что в	2	2
24	с другой стороны	3	2
25	в зависимости от	7	2
26	как мы видели	2	2
27	то обстоятельство что	3	2
28	от того что	2	2
