N	2gram	Vinokur_Vv_1	DiskursI
1	в качестве	7	34
2	не только	21	28
3	в том	31	23
4	а не	3	22
5	том что	26	19
6	тогда как	2	19
7	может быть	24	17
8	представляет собой	12	17
9	и в	27	16
10	как и	5	16
11	в этом	34	15
12	еще не	4	14
13	но и	5	14
14	при этом	3	13
15	прежде всего	8	11
16	но не	7	11
17	и не	13	11
18	с другой	8	10
19	в частности	3	9
20	состоит в	2	9
21	в нем	13	9
22	отношению к	4	9
23	одной стороны	4	9
24	по отношению	4	9
25	не может	13	9
26	с одной	4	9
27	а также	3	8
28	своего рода	3	8
29	о том	15	8
30	но в	10	8
31	в его	10	7
32	со стороны	12	7
33	то же	8	7
34	в себе	4	7
35	только в	13	7
36	не в	8	7
37	в своем	3	6
38	и как	9	6
39	ни к	2	6
40	к тому	4	5
41	можно сказать	3	5
42	в силу	3	5
43	как бы	5	5
44	в котором	4	5
45	в своей	4	5
46	то что	17	5
47	во всех	2	5
48	в отличие	3	5
49	а в	5	5
50	в их	11	5
51	отличие от	3	5
52	и на	3	5
53	в данном	11	5
54	что в	11	4
55	в них	4	4
56	во втором	2	4
57	не как	3	4
58	что он	4	4
59	уже не	5	4
60	в истории	9	4
61	в целом	5	4
62	же время	5	4
63	одной из	3	4
64	связи с	3	4
65	такого рода	2	4
66	отношение к	3	4
67	внимание на	4	4
68	в особенности	4	4
69	что не	5	4
70	в которых	6	4
71	потому что	14	4
72	между тем	8	4
73	могут быть	4	4
74	и т.д	4	4
75	однако в	3	3
76	он мог	3	3
77	того же	3	3
78	это понятие	2	3
79	это не	8	3
80	как уже	2	3
81	по себе	9	3
82	что и	3	3
83	в ее	11	3
84	и того	2	3
85	времени и	4	3
86	по своему	5	3
87	имеет свою	2	3
88	с этим	2	3
89	в самом	12	3
90	один из	6	3
91	не с	2	3
92	хотя бы	5	3
93	все же	8	3
94	из них	3	3
95	в строгом	3	3
96	в основании	3	3
97	таким образом	19	3
98	именно в	8	3
99	заключается в	4	3
100	того что	12	3
101	другой стороны	5	3
102	и даже	5	3
103	в своих	2	3
104	сказать что	5	3
105	тем что	6	3
106	точки зрения	7	3
107	в то	5	3
108	также и	16	3
109	в первом	5	3
110	в каждой	2	3
111	литературы в	3	2
112	из двух	2	2
113	зависит от	3	2
114	по мере	4	2
115	не менее	8	2
116	и есть	3	2
117	никогда не	3	2
118	о котором	8	2
119	и без	2	2
120	в какой	4	2
121	же касается	2	2
122	нельзя не	4	2
123	по крайней	4	2
124	или меньшей	2	2
125	одного и	2	2
126	в одном	4	2
127	в каждом	4	2
128	это в	2	2
129	к этому	3	2
130	с понятием	3	2
131	стороны и	3	2
132	в тех	2	2
133	об этом	5	2
134	но зато	2	2
135	крайней мере	4	2
136	в г	5	2
137	в соответствии	2	2
138	в значительной	2	2
139	на этом	3	2
140	большей или	2	2
141	так например	6	2
142	что с	3	2
143	своей природе	3	2
144	в начале	3	2
145	в сущности	3	2
146	и требует	2	2
147	текст и	3	2
148	обратить внимание	2	2
149	в принципе	2	2
150	текста и	3	2
151	одним из	5	2
152	хотя и	3	2
153	и др	2	2
154	будто бы	2	2
155	например в	2	2
156	говоря уже	2	2
157	из наиболее	4	2
158	и тем	5	2
159	не есть	4	2
160	себя в	2	2
161	на том	3	2
162	дело не	3	2
163	в различных	2	2
164	в тексте	4	2
165	в форме	2	2
166	что же	3	2
167	что представляет	3	2
168	данном случае	5	2
169	мысли и	2	2
170	языка и	12	2
171	дело с	6	2
172	хотя в	2	2
173	уже в	5	2
174	как мы	9	2
175	этого термина	2	2
176	котором он	2	2
177	и что	4	2
178	том чтобы	6	2
179	времени в	3	2
180	и его	5	2
181	не следует	2	2
182	во всяком	3	2
183	мы имеем	3	2
184	и ее	4	2
185	соответствии с	2	2
186	но как	2	2
187	в другом	3	2
188	на протяжении	2	2
189	и вообще	3	2
190	что даже	2	2
191	не говоря	2	2
192	же самое	2	2
193	в этой	3	2
194	особого рода	4	2
195	в виду	4	2
196	о чем	4	2
