N	2gram	Bakhtin_Pr_1	Istorich
1	и в	38	25
2	что он	2	22
3	и т	14	20
4	может быть	26	17
5	мы имеем	2	14
6	не только	9	13
7	но и	9	13
8	в его	43	12
9	и не	42	11
10	все же	6	10
11	в этом	15	10
12	тем что	2	10
13	с другой	7	9
14	его в	9	9
15	и его	16	9
16	таким образом	10	9
17	в виде	2	9
18	связи с	2	8
19	что в	7	8
20	том что	3	8
21	еще не	7	8
22	на него	3	8
23	связь с	3	8
24	другой стороны	4	8
25	все эти	5	8
26	и что	2	8
27	и на	3	8
28	в частности	2	7
29	как и	7	7
30	но это	3	7
31	то что	8	7
32	одной стороны	3	7
33	в нем	15	7
34	с одной	3	7
35	и здесь	2	7
36	только в	13	7
37	о том	4	7
38	в этих	2	6
39	это не	5	6
40	прежде всего	13	6
41	что и	2	6
42	себя в	2	6
43	как в	4	6
44	не может	27	6
45	и он	2	6
46	не в	7	6
47	или в	2	6
48	могут быть	5	6
49	в том	8	6
50	там где	6	6
51	что это	2	5
52	ясно что	3	5
53	как мы	7	5
54	здесь мы	2	5
55	но не	12	5
56	мы увидим	3	5
57	например в	3	5
58	в ней	4	5
59	в него	2	5
60	не будем	3	5
61	входит в	8	5
62	не менее	4	4
63	что все	2	4
64	не всегда	6	4
65	и тем	3	4
66	с другими	3	4
67	тем не	3	4
68	в ее	4	4
69	в дальнейшем	3	4
70	в пределах	6	4
71	в некоторых	2	4
72	все это	3	4
73	в связи	2	4
74	то же	5	4
75	в истории	2	4
76	мы здесь	4	4
77	он не	3	4
78	мы должны	2	4
79	и это	3	4
80	с ним	5	4
81	никогда не	5	3
82	и как	8	3
83	в более	4	3
84	и все	3	3
85	в целом	3	3
86	нем и	2	3
87	в свою	2	3
88	в то	4	3
89	в себя	2	3
90	того чтобы	2	3
91	и пр	2	3
92	и др	8	3
93	в форме	4	3
94	на этом	2	3
95	в особенности	2	3
96	для того	2	3
97	к нему	10	3
98	его не	2	3
99	а в	6	3
100	в данном	4	3
101	и с	17	3
102	они не	3	3
103	человека в	2	3
104	и вообще	2	3
105	в таких	2	3
106	он может	2	2
107	на них	3	2
108	формы и	5	2
109	к этому	2	2
110	вовсе не	2	2
111	а как	3	2
112	на то	2	2
113	от них	2	2
114	можно сказать	2	2
115	о которых	2	2
116	по существу	2	2
117	и при	2	2
118	одна из	2	2
119	она не	2	2
120	несмотря на	3	2
121	если бы	3	2
122	из которых	2	2
123	как бы	22	2
124	и потому	4	2
125	должен быть	2	2
126	в своей	7	2
127	отношению к	19	2
128	во всех	11	2
129	данном случае	4	2
130	совершенно не	7	2
131	по отношению	21	2
132	и для	11	2
133	и других	2	2
134	самом деле	6	2
135	а не	5	2
136	того что	2	2
137	в других	4	2
138	сказать что	4	2
139	центр тяжести	2	2
140	точки зрения	8	2
141	к его	2	2
142	во всем	2	2
143	особенно в	2	2
144	и этим	6	2
145	ничего не	6	2
146	или как	3	2
147	этих работ	2	2
148	том как	2	2
149	мы можем	6	2
