N	2gram	Tiupa_Teor_1	Vladivir
1	и в	18	31
2	не только	16	24
3	но и	9	19
4	то что	3	18
5	и не	13	17
6	и даже	2	15
7	том что	9	14
8	что в	9	14
9	в этом	8	14
10	в его	6	12
11	но в	9	12
12	с его	5	11
13	в том	16	11
14	потому что	3	11
15	и то	2	10
16	он не	3	10
17	никогда не	4	9
18	а в	13	9
19	только в	6	9
20	в конце	2	9
21	и по	2	8
22	в то	6	8
23	для него	2	7
24	об этом	2	7
25	как раз	2	7
26	и его	8	7
27	как это	8	7
28	сказать что	3	7
29	и к	3	6
30	можно сказать	3	6
31	у нас	2	6
32	в качестве	24	6
33	того же	3	6
34	и потому	2	6
35	может быть	17	6
36	так и	10	6
37	не может	4	6
38	то же	7	6
39	и что	3	6
40	это было	2	6
41	а с	3	5
42	все это	2	5
43	вовсе не	3	5
44	не в	7	5
45	а также	6	5
46	что и	2	5
47	но он	3	5
48	я не	2	4
49	же время	5	4
50	в своем	4	4
51	этом смысле	2	4
52	в нем	4	4
53	в себе	9	4
54	как и	4	4
55	и как	2	4
56	в этой	3	4
57	по своей	3	4
58	такого рода	8	4
59	хотя и	3	4
60	и особенно	2	4
61	один из	2	4
62	в нашем	4	4
63	себя в	6	4
64	в своей	6	4
65	а а	5	4
66	говорит что	2	4
67	дело в	2	4
68	в которой	2	4
69	для меня	2	4
70	к тому	2	3
71	отнюдь не	3	3
72	со своей	3	3
73	с другой	7	3
74	в жизни	2	3
75	как в	5	3
76	но не	9	3
77	более или	2	3
78	по своему	2	3
79	за пределы	2	3
80	в целом	3	3
81	отношение к	5	3
82	вместе с	2	3
83	или менее	2	3
84	другой стороны	5	3
85	в отношении	3	3
86	таким образом	3	3
87	все эти	2	3
88	и вот	3	3
89	уже не	4	3
90	и притом	2	3
91	на себя	2	3
92	к его	2	3
93	и здесь	2	3
94	то есть	12	3
95	но она	2	3
96	во мне	2	2
97	в момент	2	2
98	место в	5	2
99	не менее	4	2
100	в частности	16	2
101	в них	2	2
102	одной из	2	2
103	тем не	3	2
104	ни в	2	2
105	особого рода	2	2
106	еще не	4	2
107	при этом	12	2
108	того что	4	2
109	в самом	4	2
110	однако эта	2	2
111	и о	4	2
112	одним из	2	2
113	к жизни	2	2
114	даже в	3	2
115	и а	4	2
116	дело не	2	2
117	со стороны	2	2
118	что она	2	2
119	а именно	2	2
120	и который	2	2
121	как к	2	2
122	и для	2	2
123	у одного	2	2
124	лишь в	6	2
125	тем самым	4	2
126	времени в	2	2
127	своей жизни	2	2
128	точки зрения	9	2
129	из этих	3	2
130	и это	2	2
