N	2gram	Savitsky_E_1	FransuaR
1	и в	37	49
2	то есть	6	32
3	прежде всего	9	19
4	в его	2	18
5	не только	18	17
6	и на	6	17
7	и не	14	15
8	в этом	12	15
9	в них	3	13
10	только в	9	13
11	но и	14	13
12	как и	7	11
13	как бы	6	11
14	вовсе не	6	10
15	в этой	2	10
16	жизни и	2	7
17	не может	9	7
18	таким образом	2	7
19	то же	15	7
20	как мы	5	7
21	именно в	4	6
22	то что	6	6
23	в истории	2	6
24	же время	14	6
25	во всех	6	6
26	так и	10	6
27	сказать что	4	6
28	и с	2	6
29	точки зрения	23	6
30	в то	16	6
31	так как	7	6
32	никогда не	3	5
33	в своем	14	5
34	но не	5	5
35	может быть	6	5
36	и потому	5	5
37	в своей	8	5
38	с точки	17	5
39	в эту	2	5
40	и более	2	4
41	с другой	7	4
42	и во	2	4
43	и к	3	4
44	в себе	9	4
45	том что	6	4
46	в своих	2	4
47	в этих	2	4
48	этот процесс	2	4
49	в известной	3	4
50	а в	2	4
51	как на	3	4
52	в области	11	4
53	тем что	3	4
54	там где	3	4
55	но в	14	4
56	место в	3	3
57	с одной	8	3
58	в течение	5	3
59	жизни в	3	3
60	в одном	2	3
61	же в	2	3
62	в ее	8	3
63	в том	11	3
64	но именно	2	3
65	в значительной	2	3
66	не дает	3	3
67	одной стороны	8	3
68	было бы	8	3
69	из них	3	3
70	несмотря на	4	3
71	в самом	4	3
72	меньшей степени	2	3
73	даже в	4	3
74	точка зрения	2	3
75	и со	3	3
76	мы видели	3	3
77	другой стороны	2	3
78	этом отношении	3	3
79	и все	2	3
80	и других	2	3
81	культуры и	2	3
82	к нему	2	3
83	можно было	3	3
84	также и	7	3
85	далеко не	2	3
86	о том	3	3
87	что в	21	2
88	для них	2	2
89	могут быть	2	2
90	но даже	4	2
91	в качестве	14	2
92	думать что	8	2
93	этой культуры	2	2
94	в смысле	9	2
95	для понимания	2	2
96	на то	6	2
97	можно сказать	4	2
98	в отношении	32	2
99	есть в	2	2
100	по сравнению	2	2
101	связано с	3	2
102	в пределах	25	2
103	хотя и	2	2
104	в ней	4	2
105	к ней	4	2
106	притом в	2	2
107	в мире	2	2
108	по преимуществу	2	2
109	вместе с	2	2
110	ее в	3	2
111	в их	11	2
112	целый ряд	2	2
113	ко всему	2	2
114	того чтобы	6	2
115	и эта	2	2
116	и даже	6	2
117	и прежде	3	2
118	так же	9	2
119	на основе	2	2
120	меньше чем	2	2
121	культуры но	2	2
122	во всяком	3	2
123	одной из	5	2
124	себе в	3	2
125	и еще	2	2
126	во все	3	2
127	мы должны	2	2
128	сравнению с	2	2
129	всяком случае	3	2
130	мы можем	3	2
