N	2gram	Losev_Prob_5	Stilisti
1	и в	30	42
2	как бы	6	27
3	не только	18	27
4	прежде всего	6	22
5	хотя бы	2	17
6	но и	13	15
7	то же	2	15
8	и не	12	14
9	может быть	7	12
10	не может	5	12
11	точки зрения	10	11
12	как и	7	11
13	и как	6	10
14	отнюдь не	4	10
15	как мы	2	10
16	в этом	17	10
17	при этом	4	9
18	в то	4	9
19	то что	18	9
20	для того	3	9
21	мы не	2	9
22	все же	9	8
23	в ней	3	8
24	таким образом	13	8
25	с тем	5	8
26	в себе	4	8
27	никогда не	7	7
28	и тем	3	7
29	и на	6	7
30	потому что	13	7
31	так как	6	7
32	было бы	4	7
33	а не	5	7
34	того чтобы	2	7
35	и его	6	7
36	мы можем	5	7
37	только в	9	7
38	в которой	5	7
39	ничего не	2	7
40	мы будем	2	6
41	не в	7	6
42	в этой	10	6
43	в свою	2	6
44	на его	2	6
45	в конце	8	6
46	в нем	6	6
47	так и	7	6
48	в области	2	6
49	уже в	2	5
50	и является	2	5
51	и их	5	5
52	с помощью	2	5
53	а в	6	5
54	и с	5	5
55	в его	12	5
56	вместе с	7	5
57	с точки	8	5
58	у которого	2	5
59	все время	3	4
60	и без	2	4
61	не просто	5	4
62	что именно	2	4
63	можно сказать	6	4
64	к тому	2	4
65	но все	4	4
66	художественного творчества	8	4
67	в качестве	4	4
68	в самом	5	4
69	один из	2	4
70	того что	3	4
71	так же	5	4
72	о том	12	4
73	его в	6	4
74	но в	9	4
75	не что	3	4
76	и к	4	4
77	у нас	7	4
78	на него	2	4
79	а с	4	4
80	уже не	6	4
81	самом деле	2	4
82	тем же	3	4
83	можно было	2	4
84	и то	5	4
85	то есть	21	4
86	является наиболее	2	3
87	что у	5	3
88	это не	2	3
89	для нас	10	3
90	не мог	4	3
91	но для	2	3
92	хотя и	8	3
93	в котором	2	3
94	не к	2	3
95	из них	2	3
96	жизни и	2	3
97	и даже	14	3
98	не так	4	3
99	сказать что	9	3
100	в начале	3	3
101	в виду	3	3
102	и все	9	3
103	в одном	3	3
104	если он	2	3
105	об этом	4	3
106	в ее	3	3
107	том что	17	3
108	еще не	3	3
109	о своем	2	3
110	конечно не	2	3
111	тех или	2	3
112	что и	6	3
113	не будет	2	3
114	да и	2	3
115	если не	4	3
116	и для	6	3
117	конце концов	6	3
118	связи с	7	3
119	в частности	4	2
120	но даже	4	2
121	в какой	2	2
122	иное как	3	2
123	человека и	4	2
124	не всегда	3	2
125	в том	12	2
126	нас не	3	2
127	и нет	2	2
128	и сам	4	2
129	несмотря на	6	2
130	за ними	2	2
131	отношение к	2	2
132	в первой	2	2
133	в связи	7	2
134	в отношении	3	2
135	еще и	4	2
136	все эти	2	2
137	его не	2	2
138	также и	12	2
139	даже и	4	2
140	что иное	3	2
141	по своей	2	2
142	мы имеем	2	2
143	для них	3	2
144	однако в	3	2
145	к этому	2	2
146	ясно что	4	2
147	или иных	2	2
148	значение и	2	2
149	что он	7	2
150	ли он	2	2
151	только тогда	3	2
152	но не	7	2
153	художественное творчество	5	2
154	равно как	2	2
155	тот же	3	2
156	гораздо более	4	2
157	в своей	22	2
158	сих пор	2	2
159	как в	2	2
160	при всем	2	2
161	здесь не	7	2
162	бы не	3	2
163	ли не	2	2
164	перейти к	3	2
165	в значительной	2	2
166	которого и	2	2
167	и он	4	2
168	к нему	3	2
169	в дальнейшем	7	2
170	с ним	3	2
171	или в	4	2
172	тем что	2	2
173	и вообще	9	2
174	как с	2	2
175	в середине	2	2
