N	2gram	Losev_Vlad_2	Otkroven
1	у него	19	22
2	у достоевского	2	19
3	и в	30	19
4	но и	8	13
5	и не	18	13
6	в этом	20	12
7	а не	7	11
8	не в	9	11
9	может быть	7	11
10	не только	12	11
11	и все	7	10
12	в нем	4	10
13	никогда не	7	9
14	не было	10	9
15	потому что	9	9
16	прежде всего	6	9
17	и он	4	8
18	он был	6	8
19	ни с	2	7
20	человек не	2	7
21	но он	3	7
22	до конца	7	7
23	нет ничего	3	7
24	он не	4	7
25	в его	11	7
26	все это	5	6
27	как и	5	6
28	него в	4	5
29	то что	20	5
30	а в	11	5
31	отношение к	4	5
32	о его	5	5
33	в том	18	5
34	для него	9	5
35	в этой	4	5
36	в самом	2	5
37	в россии	3	5
38	с его	4	4
39	на земле	2	4
40	он сам	2	4
41	только и	3	4
42	того чтобы	2	4
43	что не	2	4
44	и его	6	4
45	все эти	5	4
46	не может	9	4
47	что в	12	4
48	него и	2	4
49	к нему	2	3
50	в этих	4	3
51	только одно	3	3
52	и есть	2	3
53	мысли и	2	3
54	это не	2	3
55	и вот	3	3
56	что он	13	3
57	того что	5	3
58	для того	2	3
59	хотя бы	3	3
60	в своих	2	3
61	и от	2	3
62	в себе	6	3
63	было бы	9	3
64	о том	4	3
65	с ним	5	3
66	как бы	5	3
67	это за	2	3
68	это было	4	3
69	уже в	3	2
70	с которой	2	2
71	все же	9	2
72	что и	3	2
73	не есть	4	2
74	и для	3	2
75	с тем	2	2
76	так и	5	2
77	не очень	4	2
78	жизни в	2	2
79	в своем	8	2
80	что же	8	2
81	как к	2	2
82	к этому	6	2
83	по себе	5	2
84	же это	2	2
85	и к	6	2
86	и очень	2	2
87	не имеет	2	2
88	должно быть	3	2
89	его не	2	2
90	в которой	4	2
91	что для	2	2
92	том что	12	2
93	так что	5	2
94	своей жизни	3	2
95	и на	4	2
96	и то	5	2
97	сказать что	11	2
98	и с	14	2
99	учение о	3	2
100	совсем не	4	2
101	даже и	3	2
102	с богом	3	2
103	было для	2	2
104	достоевского но	2	2
105	его в	4	2
106	должен был	3	2
107	в своей	5	2
108	так как	5	2
109	и о	4	2
110	к этой	2	2
111	ничего не	2	2
112	и из	2	2
113	не могли	3	2
114	хотя и	6	2
115	которую он	7	2
116	к ней	3	2
117	но в	8	2
118	и потому	2	2
