N	2gram	Tiupa_Lite_1	VLabPisa
1	таким образом	3	27
2	в этом	12	26
3	и в	8	25
4	творческого процесса	2	22
5	не только	24	22
6	может быть	13	21
7	хотя бы	2	20
8	и не	12	19
9	художественного творчества	3	18
10	не может	5	17
11	в его	7	15
12	прежде всего	11	13
13	в том	16	13
14	этом отношении	2	13
15	в частности	15	12
16	как это	8	12
17	с другой	3	11
18	в силу	4	11
19	из них	4	11
20	в качестве	17	10
21	о том	2	10
22	в художественном	4	10
23	по этому	2	9
24	что в	3	9
25	для него	2	9
26	и др	3	9
27	но и	17	9
28	то же	5	9
29	все эти	2	8
30	в своем	11	8
31	могут быть	2	8
32	из этих	2	7
33	в году	13	7
34	же в	5	7
35	как и	6	7
36	том что	14	7
37	было бы	2	7
38	в конечном	5	7
39	отношению к	2	7
40	по отношению	3	7
41	не было	3	7
42	а не	16	7
43	у него	3	6
44	это не	4	6
45	в себе	7	6
46	то что	10	6
47	том же	3	6
48	в нем	2	6
49	так и	4	6
50	и его	4	6
51	между тем	2	6
52	в то	5	6
53	же время	5	5
54	конечном счете	4	5
55	все же	4	5
56	в пределах	3	5
57	связи с	6	5
58	и есть	3	5
59	в искусстве	2	5
60	одним из	5	5
61	как бы	7	5
62	один из	3	5
63	в их	3	5
64	приводит к	3	5
65	только в	8	5
66	не в	8	5
67	не является	2	5
68	к тому	2	4
69	никогда не	4	4
70	в целом	8	4
71	что он	5	4
72	с его	5	4
73	одна из	3	4
74	в своей	4	4
75	в нашей	2	4
76	в самом	3	4
77	даже в	2	4
78	должен быть	2	4
79	художественное произведение	2	4
80	как раз	4	4
81	в связи	4	4
82	в этой	4	4
83	в конце	4	3
84	человека и	2	3
85	различного рода	2	3
86	из его	2	3
87	писал в	2	3
88	по поводу	2	3
89	что не	2	3
90	например в	3	3
91	следующим образом	2	3
92	далеко не	3	3
93	в виду	3	3
94	его в	3	3
95	жизни и	3	3
96	сводится к	3	3
97	того что	6	3
98	при всем	3	3
99	в слове	2	3
100	точки зрения	6	3
101	всего лишь	4	3
102	не менее	7	2
103	в стихотворении	4	2
104	в жизни	6	2
105	а как	2	2
106	роль в	2	2
107	или иной	2	2
108	что его	3	2
109	ли не	3	2
110	но не	4	2
111	чуть ли	2	2
112	художника как	2	2
113	еще не	4	2
114	одной стороны	2	2
115	он и	3	2
116	о своем	2	2
117	то это	2	2
118	для многих	2	2
119	относится к	2	2
120	и даже	3	2
121	всяком случае	2	2
122	отнюдь не	2	2
123	что для	2	2
124	только то	2	2
125	все они	2	2
126	бы не	3	2
127	а в	3	2
128	еще и	3	2
129	с одной	2	2
130	при всей	3	2
131	этой точки	3	2
132	чтобы не	2	2
133	что такое	2	2
134	можно было	2	2
135	тому как	2	2
136	в своих	4	2
137	не столько	5	2
138	также и	3	2
139	во всяком	3	2
140	лишь в	4	2
141	подобно тому	2	2
142	этого рода	2	2
143	в другом	2	2
144	самого себя	3	2
145	ту же	2	2
146	на это	2	2
147	как он	2	2
148	которая не	2	2
149	в области	3	2
150	в сознании	2	2
151	но в	3	2
152	а для	2	2
