N	2gram	Ircho_Kome_1	Narrotol
1	не только	10	32
2	может быть	9	25
3	но и	11	23
4	в качестве	4	21
5	и не	8	20
6	и в	22	19
7	в том	11	18
8	в этом	3	17
9	в частности	3	14
10	том что	12	14
11	не в	6	14
12	в рамках	2	12
13	то что	2	11
14	а в	6	11
15	не может	2	10
16	точки зрения	4	10
17	при этом	5	9
18	со стороны	2	9
19	так и	5	9
20	в его	5	9
21	с другой	5	8
22	в себе	2	8
23	времени и	2	7
24	как и	9	7
25	еще не	2	7
26	к тому	6	7
27	такого рода	6	7
28	а также	4	7
29	все же	3	7
30	как в	5	7
31	по отношению	3	7
32	с одной	3	7
33	одной стороны	3	7
34	что он	6	6
35	отношению к	3	6
36	но не	2	6
37	именно в	4	6
38	в себя	2	6
39	как это	3	6
40	на протяжении	4	6
41	о том	8	6
42	но в	4	6
43	и как	3	5
44	тому же	6	5
45	в форме	2	5
46	к нему	2	5
47	и его	8	5
48	отличие от	2	5
49	в этой	7	5
50	прежде всего	5	4
51	одного из	6	4
52	в нем	4	4
53	у него	3	4
54	то же	6	4
55	же в	4	4
56	да и	3	4
57	в силу	2	4
58	же время	4	4
59	было бы	2	4
60	вслед за	2	4
61	одной из	3	4
62	речь идет	3	4
63	и тем	2	4
64	другой стороны	5	4
65	из которых	2	4
66	не мог	3	4
67	в принципе	2	4
68	только в	3	4
69	как правило	3	4
70	и с	3	4
71	не менее	3	3
72	ни было	2	3
73	же как	3	3
74	что в	6	3
75	могут быть	3	3
76	уже в	5	3
77	в свою	2	3
78	тем не	2	3
79	ни в	6	3
80	что они	4	3
81	одна из	2	3
82	в сущности	2	3
83	хотя и	3	3
84	он не	3	3
85	и самого	2	3
86	и даже	5	3
87	мог бы	2	3
88	один из	5	3
89	с ее	2	3
90	бы то	2	3
91	из них	10	3
92	на него	4	3
93	даже не	2	3
94	то ни	2	3
95	этом отношении	3	3
96	как мы	4	3
97	столь же	2	3
98	и на	3	3
99	будто бы	2	3
100	между тем	5	3
101	тем что	4	3
102	на себя	2	3
103	по своей	2	3
104	в то	10	3
105	как будто	2	3
106	в известном	2	2
107	после смерти	3	2
108	независимо от	2	2
109	что у	2	2
110	в противоположность	2	2
111	здесь и	2	2
112	идет о	3	2
113	точек зрения	2	2
114	как известно	2	2
115	несмотря на	4	2
116	наряду с	2	2
117	даже в	3	2
118	в любом	3	2
119	во второй	3	2
120	или менее	2	2
121	который в	2	2
122	отношение к	3	2
123	так же	3	2
124	как раз	3	2
125	при всем	2	2
126	или в	2	2
127	в результате	4	2
128	нового времени	5	2
129	каждый из	3	2
130	однако в	3	2
131	одну из	2	2
132	что касается	2	2
133	и ее	3	2
134	и все	3	2
135	его в	3	2
136	ничего не	3	2
137	что по	2	2
138	к которому	3	2
139	и одновременно	3	2
