N	2gram	Nazirov_Vr_1	Mirosoze
1	и в	8	46
2	у достоевского	4	34
3	в нем	6	22
4	у него	5	22
5	может быть	4	21
6	в этом	8	20
7	никогда не	2	18
8	для него	2	18
9	и не	5	18
10	не только	9	18
11	но и	7	15
12	не может	2	15
13	человека в	3	14
14	как и	6	13
15	не было	5	11
16	в ней	4	11
17	но он	3	11
18	и он	2	11
19	но в	6	10
20	он не	3	10
21	в себе	2	10
22	он был	3	9
23	достоевский был	2	9
24	но это	2	8
25	как бы	4	8
26	в своем	3	8
27	отношение к	2	8
28	и достоевский	2	8
29	в мире	2	7
30	в этой	2	7
31	что он	4	7
32	он сам	2	6
33	так же	4	6
34	в бесах	10	6
35	в русской	3	6
36	то же	5	5
37	я не	3	5
38	достоевского к	3	5
39	это не	4	5
40	в конце	3	5
41	и все	7	5
42	достоевский не	3	5
43	то что	7	5
44	в своей	2	5
45	и его	3	5
46	в его	3	5
47	и это	2	5
48	что в	7	4
49	достоевского –	2	4
50	что у	3	4
51	с его	3	4
52	в свою	2	4
53	том что	3	4
54	т е	3	4
55	уже не	2	4
56	петр верховенский	3	4
57	его на	2	4
58	же как	2	3
59	в том	3	3
60	достоевский в	8	3
61	не мог	2	3
62	в своих	4	3
63	и с	6	3
64	о том	4	3
65	его в	3	3
66	в россии	5	3
67	с ним	4	3
68	в них	2	3
69	и во	3	3
70	достоевского не	4	3
71	с которым	2	3
72	достоевского о	3	3
73	сам достоевский	3	3
74	тем что	3	3
75	в чем	3	3
76	место в	2	2
77	уже в	4	2
78	из подполья	3	2
79	что есть	3	2
80	отношения к	2	2
81	достоевского и	7	2
82	а в	2	2
83	к себе	2	2
84	точки зрения	2	2
85	между тем	5	2
86	его с	2	2
87	в дневнике	4	2
88	связи с	3	2
89	– это	6	2
90	и что	8	2
91	вместе с	2	2
92	который был	3	2
93	достоевского в	7	2
