N	2gram	Tiupa_Teor_1	RusskieA
1	и в	18	36
2	а а	5	25
3	не только	16	22
4	что в	9	19
5	том что	9	19
6	в том	16	17
7	но и	9	16
8	и другие	2	13
9	в этом	8	12
10	это не	2	10
11	как и	4	10
12	вместе с	2	10
13	потому что	3	10
14	об этом	2	9
15	а в	13	9
16	состоит в	17	8
17	у нас	2	8
18	может быть	17	8
19	один из	2	8
20	и по	2	8
21	как это	8	8
22	что и	2	7
23	так и	10	7
24	между тем	5	7
25	и не	13	6
26	при этом	12	6
27	в них	2	6
28	уже не	4	6
29	таким образом	3	6
30	все это	2	6
31	то что	3	6
32	как будто	2	5
33	как бы	5	5
34	а и	4	5
35	как в	5	5
36	тому что	2	4
37	из этих	3	4
38	к тому	2	4
39	представляет собой	9	4
40	еще не	4	4
41	и а	4	4
42	в их	2	4
43	так в	4	4
44	не может	4	4
45	а с	3	4
46	мы имеем	7	4
47	и что	3	4
48	того что	4	4
49	только в	6	4
50	слова в	2	3
51	не менее	4	3
52	к жизни	2	3
53	в этих	3	3
54	в качестве	24	3
55	в своем	4	3
56	в одном	2	3
57	в свою	3	3
58	и к	3	3
59	тем не	3	3
60	как правило	4	3
61	а также	6	3
62	если в	2	3
63	не с	3	3
64	своего рода	7	3
65	приводит к	5	3
66	то же	7	3
67	и некоторые	2	3
68	с точки	3	3
69	так же	2	3
70	их в	3	3
71	точки зрения	9	3
72	то есть	12	3
73	далеко не	2	3
74	этого слова	3	3
75	в области	4	3
76	в частности	16	2
77	могут быть	4	2
78	в нашем	4	2
79	между собой	3	2
80	и потому	2	2
81	в нем	4	2
82	равной степени	3	2
83	в жизни	2	2
84	и как	2	2
85	свою очередь	2	2
86	но не	9	2
87	быть и	2	2
88	в большинстве	2	2
89	отнюдь не	3	2
90	имеет место	2	2
91	у и	2	2
92	в его	6	2
93	в целом	3	2
94	к нам	2	2
95	значения и	2	2
96	но она	2	2
97	что она	2	2
98	не на	2	2
99	тогда как	15	2
100	все эти	2	2
101	в какой	2	2
102	а не	9	2
103	и для	2	2
104	или в	3	2
105	не случайно	5	2
106	хотя и	3	2
107	между двумя	3	2
108	на себя	2	2
109	и здесь	2	2
110	но в	9	2
111	в равной	3	2
