N	2gram	Tiupa_Lite_3	OGranits
1	и в	16	13
2	и его	6	12
3	прежде всего	3	9
4	не может	8	8
5	и не	22	8
6	может быть	12	8
7	и т.п	6	7
8	точки зрения	7	7
9	эстетический объект	3	7
10	в его	6	7
11	не только	14	6
12	то что	12	6
13	только в	7	6
14	как бы	8	6
15	художественного произведения	2	5
16	все же	2	5
17	с точки	3	5
18	в поэзии	5	5
19	эстетического объекта	6	5
20	и наконец	3	5
21	то же	9	4
22	в своей	7	4
23	еще и	2	4
24	лишь в	5	4
25	было бы	2	4
26	но в	3	4
27	отношению к	4	3
28	что в	2	3
29	никогда не	4	3
30	но и	14	3
31	так и	9	3
32	по отношению	4	3
33	не как	2	3
34	в одном	4	3
35	со всей	2	3
36	самом деле	3	3
37	в ее	5	3
38	как и	5	3
39	не в	10	3
40	в себе	6	3
41	и для	4	3
42	еще в	3	2
43	не менее	2	2
44	для себя	2	2
45	с этой	2	2
46	и тем	3	2
47	в нем	2	2
48	ее в	2	2
49	к предмету	2	2
50	во всей	2	2
51	полном соответствии	2	2
52	в целом	5	2
53	сознания и	2	2
54	своего рода	10	2
55	данном случае	4	2
56	а не	12	2
57	художественное произведение	2	2
58	другой стороны	2	2
59	с другой	6	2
60	входит в	4	2
61	а в	5	2
62	с одной	4	2
63	в полном	2	2
64	к тому	6	2
65	и к	3	2
66	как в	5	2
67	если бы	2	2
68	в г	3	2
69	в том	12	2
70	наконец в	3	2
71	так же	2	2
72	том что	8	2
73	объект и	2	2
74	с ними	2	2
75	в своих	2	2
76	в данном	4	2
77	в этом	14	2
78	тем что	2	2
79	между тем	3	2
80	при этом	15	2
81	и ее	2	2
82	соответствии с	5	2
83	для него	2	2
84	в другом	6	2
85	более того	3	2
86	одной стороны	4	2
87	несмотря на	2	2
88	в области	3	2
89	в самом	3	2
90	вслед за	3	2
91	и при	2	2
92	там где	3	2
93	а также	4	2
