N	2gram	Vygotskiy__5	Tvorches
1	и в	16	20
2	не только	16	13
3	никогда не	5	11
4	как бы	5	11
5	в его	11	10
6	таким образом	19	10
7	в то	5	10
8	и его	3	9
9	и не	12	9
10	прежде всего	3	8
11	в том	18	8
12	при этом	4	8
13	но и	6	8
14	может быть	9	8
15	в этом	25	8
16	и с	3	8
17	это не	4	7
18	что в	16	7
19	не может	18	7
20	то же	8	7
21	потому что	21	7
22	у него	6	6
23	что он	25	6
24	как и	8	6
25	в целом	4	6
26	в своей	2	6
27	так и	7	6
28	все это	2	6
29	именно в	4	6
30	а не	10	6
31	если он	2	5
32	но это	3	5
33	еще не	4	5
34	но не	10	5
35	все же	3	5
36	и даже	2	5
37	так же	15	5
38	и на	6	5
39	в этой	6	5
40	о том	8	5
41	что у	2	4
42	и от	2	4
43	мы не	3	4
44	показывает что	5	4
45	том что	15	4
46	мы видим	4	4
47	что они	5	4
48	на его	2	4
49	что она	2	4
50	когда он	2	4
51	как в	5	4
52	в известной	3	4
53	все эти	4	4
54	тем самым	8	4
55	не в	6	4
56	а в	3	4
57	в чем	3	4
58	и потому	2	4
59	ничего не	5	4
60	если бы	8	4
61	но в	6	4
62	а с	2	3
63	же как	7	3
64	казалось бы	4	3
65	с этой	4	3
66	к этому	3	3
67	с ним	5	3
68	по самой	4	3
69	отношению к	12	3
70	для него	5	3
71	одной из	3	3
72	в самом	4	3
73	в область	2	3
74	он не	8	3
75	в котором	2	3
76	не является	5	3
77	в нем	7	3
78	то что	26	3
79	вместе с	4	3
80	сих пор	3	3
81	в их	3	3
82	по отношению	12	3
83	так как	16	3
84	в свете	4	3
85	одним из	2	3
86	самой своей	2	3
87	этот вопрос	6	3
88	тем что	5	3
89	в своих	2	3
90	его в	2	3
91	между тем	3	3
92	до сих	3	3
93	включает в	3	2
94	зависит от	4	2
95	не менее	3	2
96	и есть	7	2
97	его и	3	2
98	не означает	4	2
99	с другой	4	2
100	в такой	5	2
101	в одном	3	2
102	я не	2	2
103	вовсе не	2	2
104	в этот	2	2
105	во всяком	2	2
106	такой же	4	2
107	тому же	2	2
108	у нас	2	2
109	так что	4	2
110	что я	2	2
111	как известно	4	2
112	в частности	3	2
113	но если	6	2
114	к жизни	3	2
115	точка зрения	8	2
116	только для	2	2
117	в первой	2	2
118	в процессе	13	2
119	в истории	2	2
120	приводит к	7	2
121	в отличие	2	2
122	самом деле	3	2
123	и что	12	2
124	на этот	4	2
125	другой стороны	2	2
126	и по	4	2
127	не должны	2	2
128	он еще	2	2
129	в основе	8	2
130	из них	2	2
131	могут быть	4	2
132	в которой	5	2
133	говорить о	3	2
134	только в	10	2
135	из этого	2	2
136	их в	2	2
137	отличие от	2	2
138	к которому	4	2
139	и поэтому	2	2
