N	3gram	Vinokur_Ku_1	StatiiOP
1	и т д	14	21
2	в том что	15	17
3	о том что	5	11
4	для того чтобы	15	10
5	и т п	18	9
6	можно было бы	3	8
7	с точки зрения	9	8
8	в этом отношении	5	7
9	до сих пор	4	7
10	на самом деле	2	6
11	с другой стороны	6	6
12	во всяком случае	5	6
13	в самом деле	7	5
14	в данном отношении	2	5
15	не может быть	3	5
16	то же время	2	4
17	в то же	2	4
18	того или иного	3	4
19	на то что	2	4
20	так и в	2	4
21	и в самом	2	3
22	что же касается	4	3
23	только в том	3	3
24	по отношению к	8	3
25	заключается в том	2	3
26	но все же	2	3
27	т е в	2	2
28	мере в какой	5	2
29	т д и	2	2
30	в свое время	2	2
31	то обстоятельство что	8	2
32	тем не менее	4	2
33	в этом случае	2	2
34	в первую очередь	2	2
35	хотя бы и	2	2
36	в иных случаях	2	2
37	по крайней мере	5	2
38	не в том	4	2
39	чуть ли не	2	2
40	речь идет о	2	2
41	так или иначе	2	2
