N	2gram	Medvedev_F_2	slovoVRo
1	и в	38	39
2	может быть	23	37
3	и т	14	35
4	и его	21	33
5	т п	9	33
6	не только	9	24
7	и не	20	22
8	но и	13	21
9	не может	14	20
10	в нем	13	19
11	до конца	2	17
12	все это	3	16
13	в этом	27	16
14	так и	8	15
15	а не	6	14
16	слова в	3	13
17	как в	4	13
18	отличие от	2	13
19	в пределах	12	13
20	в процессе	9	13
21	литературного языка	3	12
22	во всех	5	12
23	в отличие	2	12
24	в истории	6	11
25	слово в	2	11
26	вовсе не	11	10
27	не в	15	9
28	языка и	12	9
29	и с	9	9
30	прежде всего	15	8
31	оно не	4	8
32	слова и	7	8
33	таким образом	20	8
34	точки зрения	8	8
35	с его	11	7
36	слово как	2	7
37	языка как	11	7
38	при этом	9	7
39	для него	7	7
40	языком и	2	7
41	в его	10	7
42	как бы	4	7
43	никогда не	2	7
44	в этих	2	7
45	язык и	7	7
46	и даже	4	7
47	как мы	7	7
48	могут быть	6	7
49	с ним	2	7
50	язык в	2	6
51	и к	4	6
52	все же	8	6
53	как и	9	6
54	языка в	9	6
55	но не	2	6
56	в большинстве	4	6
57	она не	2	6
58	в сущности	4	6
59	значительной степени	3	6
60	жизни и	3	6
61	там где	4	6
62	в значительной	3	6
63	все эти	6	6
64	в слове	5	6
65	так сказать	3	6
66	но в	4	6
67	не могут	7	5
68	с другой	3	5
69	это не	2	5
70	и для	5	5
71	и все	3	5
72	по себе	7	5
73	том что	2	5
74	но все	3	5
75	только в	6	5
76	в том	11	5
77	например в	3	5
78	и их	3	5
79	один из	2	5
80	слово и	2	5
81	уже не	7	5
82	и наконец	4	5
83	с ними	2	5
84	от него	2	5
85	большинстве случаев	3	5
86	языка а	5	5
87	в плане	2	5
88	всех этих	3	4
89	борьба с	2	4
90	и др	3	4
91	на фоне	4	4
92	ни в	2	4
93	же время	5	4
94	зависимости от	3	4
95	как предмет	2	4
96	на почве	9	4
97	в зависимости	3	4
98	его не	2	4
99	для этого	2	4
100	входит в	4	4
101	то же	6	4
102	что оно	4	4
103	и других	2	4
104	с помощью	10	4
105	в той	2	4
106	в таком	2	4
107	и иных	2	4
108	а в	6	4
109	с другими	10	4
110	языка но	2	4
111	и на	3	4
112	языка не	2	4
113	в основе	5	4
114	даже и	4	4
115	поэтического слова	3	4
116	в то	5	4
117	отношение к	2	4
118	его в	3	4
119	здесь не	4	4
120	так как	4	4
121	истории литературы	6	3
122	смысла и	2	3
123	борьбы с	2	3
124	перед нами	2	3
125	что в	7	3
126	материала и	4	3
127	хотя бы	6	3
128	не столько	4	3
129	установкой на	2	3
130	и от	2	3
131	отметить что	2	3
132	должна быть	5	3
133	язык как	8	3
134	что и	8	3
135	но это	2	3
136	связи с	13	3
137	его от	4	3
138	на этом	2	3
139	и как	3	3
140	языка то	2	3
141	как к	3	3
142	в ней	6	3
143	со всею	2	3
144	материал и	3	3
145	к нему	3	3
146	в некоторых	4	3
147	быть и	3	3
148	языке как	4	3
149	этом отношении	7	3
150	не приходится	3	3
151	лишь в	7	3
152	с точки	7	3
153	не была	2	3
154	или даже	2	3
155	литературный язык	6	3
156	сказать что	2	3
157	между тем	2	3
158	речи и	3	3
159	говорить о	5	3
160	в особенности	4	3
161	в чем	2	3
162	как это	2	3
163	во всяком	5	3
164	а лишь	3	2
165	уже в	2	2
166	не было	6	2
167	и более	2	2
168	независимо от	4	2
169	и другие	2	2
170	хотя и	3	2
171	на котором	2	2
172	другой язык	2	2
173	как например	2	2
174	и здесь	3	2
175	что он	5	2
176	в дальнейшем	4	2
177	более того	5	2
178	на нем	2	2
179	как о	4	2
180	только и	3	2
181	в поэзии	12	2
182	от характера	2	2
183	дело идет	4	2
184	же и	2	2
185	известной степени	4	2
186	лишь о	2	2
187	слова как	2	2
188	всяком случае	5	2
189	языка если	2	2
190	даже в	2	2
191	идеологической значимости	3	2
192	мы видели	4	2
193	то что	6	2
194	его как	2	2
195	вместе с	6	2
196	и речи	5	2
197	а именно	2	2
198	в их	6	2
199	кроме того	2	2
200	так в	3	2
201	в языке	6	2
202	игры с	2	2
203	смысл и	2	2
204	в связи	10	2
205	с этим	5	2
206	т д	5	2
207	особенно в	3	2
208	именно в	5	2
209	еще более	5	2
210	это и	5	2
211	мы не	3	2
212	они не	4	2
213	именно на	3	2
214	того чтобы	3	2
215	для того	3	2
216	в рамки	2	2
217	менее всего	3	2
218	роль в	3	2
219	или в	3	2
220	в результате	6	2
221	как особый	2	2
222	он не	6	2
223	именно как	4	2
224	к его	2	2
225	но как	2	2
226	одним словом	4	2
227	установка на	2	2
228	можно говорить	2	2
229	в области	3	2
230	из него	2	2
