N	2gram	Voloshinov_1	Otkroven
1	и в	38	19
2	но и	13	13
3	и не	14	13
4	в этом	10	12
5	а не	6	11
6	не в	6	11
7	человека в	2	11
8	может быть	13	11
9	не только	27	11
10	и все	4	10
11	вопрос о	2	10
12	в нем	4	10
13	никогда не	7	9
14	не было	2	9
15	потому что	5	9
16	прежде всего	21	9
17	и он	2	8
18	лишь в	4	7
19	человек не	2	7
20	нет ничего	2	7
21	он не	2	7
22	в его	6	7
23	все это	4	6
24	как и	10	6
25	то что	8	5
26	а в	5	5
27	отношение к	2	5
28	в том	2	5
29	для него	3	5
30	в этой	6	5
31	в самом	4	5
32	с его	7	4
33	того чтобы	7	4
34	и его	7	4
35	все эти	2	4
36	не может	12	4
37	к нему	2	3
38	в этих	2	3
39	это не	3	3
40	и вот	3	3
41	что он	2	3
42	того что	4	3
43	для того	9	3
44	хотя бы	18	3
45	в своих	2	3
46	быть может	3	3
47	еще не	3	3
48	и от	7	3
49	в себе	9	3
50	было бы	7	3
51	о том	4	3
52	с ним	2	3
53	как бы	28	3
54	подойти к	2	2
55	уже в	5	2
56	природы он	3	2
57	все же	7	2
58	что и	3	2
59	в душе	2	2
60	и для	3	2
61	с тем	8	2
62	природы и	2	2
63	всего в	3	2
64	так и	6	2
65	для всякого	2	2
66	что у	3	2
67	что же	8	2
68	человека все	2	2
69	к этому	2	2
70	и к	4	2
71	должно быть	2	2
72	в ее	3	2
73	его не	2	2
74	в которой	7	2
75	том что	3	2
76	своей жизни	5	2
77	и на	6	2
78	и то	3	2
79	из всего	2	2
80	сказать что	3	2
81	и с	5	2
82	тем что	2	2
83	даже и	2	2
84	и нет	2	2
85	и все-таки	2	2
86	его в	4	2
87	в своей	2	2
88	и ни	2	2
89	так как	7	2
90	ничего не	8	2
91	хотя и	3	2
92	но в	5	2
93	и потому	2	2
