N	2gram	Propp_Russ_1	Poddanst
1	не только	22	17
2	и в	36	14
3	и не	6	12
4	в области	3	11
5	в этом	12	10
6	н а	5	10
7	то же	3	9
8	в том	17	9
9	в качестве	3	9
10	но в	2	9
11	только в	4	7
12	но и	16	6
13	в ней	2	6
14	а н	18	5
15	в которых	5	5
16	и пр	2	5
17	может быть	8	5
18	то что	6	4
19	что в	19	4
20	в своем	3	4
21	не может	4	4
22	и к	3	4
23	а в	9	4
24	том что	19	4
25	мы должны	2	4
26	а также	3	4
27	как бы	5	4
28	и потому	2	4
29	в нем	2	3
30	и т	10	3
31	с тем	8	3
32	в россии	4	3
33	это не	10	3
34	т е	17	3
35	с точки	3	3
36	мы не	6	3
37	и как	2	3
38	с ними	5	3
39	между тем	7	3
40	но не	2	3
41	могут быть	2	3
42	точки зрения	3	3
43	потому что	10	3
44	хотя и	2	3
45	не менее	3	2
46	ii в	2	2
47	для них	3	2
48	во всех	4	2
49	в частности	2	2
50	не будем	3	2
51	отнюдь не	2	2
52	в е	2	2
53	в них	6	2
54	все это	6	2
55	и и	2	2
56	в xix	10	2
57	с этим	2	2
58	в жизни	2	2
59	между прочим	2	2
60	главным образом	2	2
61	думать что	3	2
62	и других	7	2
63	а не	2	2
64	того что	4	2
65	для нас	6	2
66	если в	3	2
67	в русском	4	2
68	одна из	4	2
69	в силу	2	2
70	в виде	6	2
71	переход от	2	2
72	не было	2	2
73	из них	8	2
74	например в	2	2
75	в его	2	2
76	и с	2	2
