N	2gram	Berdyaev_O_1	Analitik
1	не только	11	22
2	и в	19	18
3	как и	6	14
4	так и	2	14
5	в этом	12	14
6	но и	13	13
7	и его	4	13
8	том что	2	12
9	и не	13	12
10	а в	5	10
11	как бы	3	10
12	может быть	11	9
13	что в	4	9
14	а не	11	9
15	в том	5	9
16	с его	4	8
17	в его	7	7
18	в русской	3	7
19	не в	11	6
20	для него	5	6
21	еще не	3	6
22	в этой	5	6
23	он не	7	6
24	о том	3	6
25	никогда не	9	5
26	прежде всего	9	5
27	в самом	5	5
28	что и	2	5
29	лишь в	7	5
30	в своем	2	4
31	по себе	2	4
32	что он	3	4
33	и к	2	4
34	не есть	2	4
35	все же	2	4
36	и на	2	4
37	уже в	2	3
38	к этому	2	3
39	в ее	2	3
40	что они	2	3
41	было бы	3	3
42	мысль о	2	3
43	все это	6	3
44	не было	9	3
45	что не	4	3
46	его не	2	3
47	ничего не	2	3
48	его в	2	3
49	могут быть	3	2
50	все эти	4	2
51	это не	3	2
52	и от	3	2
53	в нем	10	2
54	и ее	3	2
55	о его	5	2
56	с тем	2	2
57	хотя и	2	2
58	и потому	2	2
59	этом он	2	2
60	то что	5	2
61	когда он	3	2
62	не может	4	2
63	как к	2	2
64	в глубине	7	2
65	и вот	3	2
66	о которой	2	2
67	и он	8	2
68	и для	2	2
69	сказать что	2	2
70	тем что	2	2
71	личности и	2	2
72	в себе	3	2
73	и все	10	2
74	но в	2	2
