N	2gram	Tiupa_Vved_1	Problema
1	и в	13	30
2	в своей	5	22
3	то есть	8	21
4	то что	6	18
5	не только	20	18
6	том что	7	17
7	в этом	21	17
8	но и	19	13
9	таким образом	4	13
10	потому что	5	13
11	в том	10	12
12	в его	4	12
13	и не	12	12
14	также и	4	12
15	о том	5	12
16	в своем	5	11
17	для нас	2	10
18	все же	6	9
19	который в	2	9
20	но в	6	9
21	только в	6	9
22	и все	4	9
23	никак не	2	8
24	хотя и	7	8
25	никогда не	4	7
26	как и	11	7
27	но не	5	7
28	может быть	18	7
29	так и	8	7
30	не в	6	7
31	здесь не	2	7
32	в результате	3	7
33	с другой	5	6
34	прежде всего	7	6
35	можно сказать	4	6
36	уже не	5	6
37	и для	3	6
38	как бы	4	6
39	в нем	5	6
40	что и	2	6
41	другой стороны	2	6
42	а в	6	6
43	и его	5	6
44	и на	3	6
45	не менее	4	5
46	что в	3	5
47	будто бы	3	5
48	тем не	3	5
49	в силу	2	5
50	в самом	2	5
51	еще в	2	5
52	не может	7	5
53	а не	15	5
54	он и	2	5
55	как раз	2	5
56	и с	2	5
57	мы можем	2	5
58	в частности	13	4
59	отнюдь не	7	4
60	жизни в	4	4
61	как о	2	4
62	нового времени	3	4
63	об этом	4	4
64	при этом	26	4
65	было бы	4	4
66	в качестве	8	4
67	а его	2	4
68	а с	2	4
69	и к	2	4
70	в себе	5	4
71	в то	4	4
72	далеко не	4	4
73	едва ли	3	4
74	для них	3	3
75	однако в	4	3
76	не всегда	2	3
77	о котором	2	3
78	в начале	3	3
79	как будто	4	3
80	еще не	7	3
81	одной стороны	5	3
82	он не	3	3
83	а также	8	3
84	и тем	2	3
85	бы не	2	3
86	с одной	5	3
87	того что	6	3
88	внимание на	3	3
89	быть только	2	3
90	в ней	4	3
91	что касается	5	3
92	с ним	3	3
93	мира в	8	3
94	по мысли	5	2
95	и более	3	2
96	в них	2	2
97	в какой	4	2
98	как в	4	2
99	это не	6	2
100	во втором	2	2
101	не все	2	2
102	один из	3	2
103	к этому	2	2
104	по себе	2	2
105	к тому	6	2
106	то же	5	2
107	как мы	3	2
108	ли не	2	2
109	мы и	2	2
110	в свою	4	2
111	по поводу	2	2
112	жизни и	7	2
113	в данном	13	2
114	мы имеем	5	2
115	такого рода	16	2
116	вслед за	2	2
117	в котором	8	2
118	отношению к	7	2
119	не к	4	2
120	на него	2	2
121	наряду с	2	2
122	все что	3	2
123	данном случае	6	2
124	человеческой жизни	3	2
125	отношение к	2	2
126	по отношению	7	2
127	то и	2	2
128	мы не	4	2
129	самом деле	3	2
130	свидетельствует о	4	2
131	можно было	2	2
132	тем что	2	2
133	в одной	2	2
134	мере в	2	2
135	всей своей	2	2
136	это время	2	2
137	по своей	3	2
138	есть в	2	2
139	мира и	2	2
140	в области	3	2
141	тоже не	2	2
