N	2gram	Ircho_Kome_1	Tvorches
1	и в	22	20
2	в году	3	16
3	не только	10	13
4	и т	9	13
5	т д	4	11
6	в его	5	10
7	таким образом	8	10
8	в то	10	10
9	там же	3	9
10	и его	8	9
11	и не	8	9
12	прежде всего	5	8
13	в том	11	8
14	при этом	5	8
15	но и	11	8
16	может быть	9	8
17	в этом	3	8
18	и с	3	8
19	же время	4	7
20	наряду с	2	7
21	что в	6	7
22	не может	2	7
23	то же	6	7
24	потому что	5	7
25	у него	3	6
26	в конце	6	6
27	что он	6	6
28	как и	9	6
29	в целом	3	6
30	так и	5	6
31	все это	5	6
32	именно в	4	6
33	но это	2	5
34	еще не	2	5
35	но не	2	5
36	и сам	3	5
37	все же	3	5
38	и даже	5	5
39	так же	3	5
40	и на	3	5
41	в этой	7	5
42	о том	8	5
43	что у	2	4
44	мы не	3	4
45	том что	12	4
46	что они	4	4
47	на его	5	4
48	хотя и	3	4
49	как в	5	4
50	в принципе	2	4
51	не в	6	4
52	а в	6	4
53	в чем	3	4
54	ничего не	3	4
55	но в	4	4
56	место в	3	3
57	же как	3	3
58	казалось бы	3	3
59	несколько раз	2	3
60	в образе	3	3
61	к этому	4	3
62	отношению к	3	3
63	х годов	3	3
64	одна из	2	3
65	одной из	3	3
66	в самом	2	3
67	он не	3	3
68	в котором	4	3
69	один из	5	3
70	в нем	4	3
71	то что	2	3
72	вместе с	2	3
73	сих пор	2	3
74	в их	4	3
75	по отношению	3	3
76	так как	4	3
77	тем что	4	3
78	в своих	2	3
79	в себе	2	3
80	в начале	3	3
81	его в	3	3
82	между тем	5	3
83	до сих	2	3
84	действующих лиц	4	2
85	уже в	5	2
86	не менее	3	2
87	и без	2	2
88	с другой	5	2
89	в одном	8	2
90	трагедии в	2	2
91	вовсе не	2	2
92	во всяком	2	2
93	такой же	2	2
94	и ее	3	2
95	тому же	6	2
96	у нас	3	2
97	как известно	2	2
98	в частности	3	2
99	всяком случае	2	2
100	в честь	3	2
101	в первой	2	2
102	в истории	5	2
103	на землю	3	2
104	на него	4	2
105	как по	2	2
106	так в	4	2
107	т п	5	2
108	ли не	4	2
109	и других	7	2
110	и у	3	2
111	другой стороны	5	2
112	и по	6	2
113	из них	10	2
114	в виде	3	2
115	могут быть	3	2
116	известно что	4	2
117	в которой	6	2
118	и еще	3	2
119	только в	3	2
120	как правило	3	2
121	едва ли	7	2
122	отличие от	2	2
123	к которому	3	2
124	одном из	4	2
