N	2gram	Vinokur_Vv_1	DiskursI
1	в себе	4	19
2	при этом	3	17
3	состоит в	2	16
4	в качестве	7	16
5	и в	27	16
6	может быть	24	16
7	как и	5	16
8	в этом	34	16
9	и не	13	15
10	а не	3	14
11	в частности	3	12
12	в отличие	3	12
13	отличие от	3	12
14	представляет собой	12	11
15	но и	5	11
16	тогда как	2	11
17	но в	10	11
18	том что	26	10
19	не только	21	10
20	своего рода	3	10
21	со стороны	12	10
22	такого рода	2	9
23	не может	13	9
24	в том	31	8
25	а также	3	8
26	не менее	8	7
27	прежде всего	8	7
28	в нем	13	7
29	но не	7	7
30	в данном	11	7
31	себя в	2	6
32	еще не	4	6
33	все же	8	6
34	в своей	4	6
35	данном случае	5	6
36	то же	8	6
37	в своих	2	6
38	ни к	2	5
39	что в	11	5
40	в своем	3	5
41	с другой	8	5
42	же время	5	5
43	то что	17	5
44	и на	3	5
45	в то	5	5
46	в одном	4	4
47	к этому	3	4
48	одной стороны	4	4
49	как бы	5	4
50	времени в	3	4
51	отношению к	4	4
52	по отношению	4	4
53	этом отношении	3	4
54	с одной	4	4
55	потому что	14	4
56	одно из	5	4
57	точки зрения	7	4
58	в этой	3	4
59	и то	5	4
60	о том	15	4
61	на рубеже	2	3
62	могут быть	4	3
63	в этих	3	3
64	в них	4	3
65	это не	8	3
66	не столько	2	3
67	из этих	5	3
68	в строгом	3	3
69	уже не	5	3
70	и того	2	3
71	и как	9	3
72	не в	8	3
73	соответствии с	2	3
74	можно сказать	3	3
75	например в	2	3
76	в его	10	3
77	из двух	2	3
78	в котором	4	3
79	из них	3	3
80	жизни и	2	3
81	и ее	4	3
82	в тексте	4	3
83	все эти	3	3
84	также и	16	3
85	как на	11	3
86	и его	5	3
87	одного и	2	3
88	в другом	3	3
89	как будто	3	3
90	только в	13	3
91	не следует	2	3
92	его в	6	3
93	же как	3	2
94	никогда не	3	2
95	же касается	2	2
96	в целом	5	2
97	это в	2	2
98	как уже	2	2
99	большей части	2	2
100	этом случае	6	2
101	стороны и	3	2
102	в той	7	2
103	что он	4	2
104	в соответствии	2	2
105	воззрения на	2	2
106	времени и	4	2
107	того же	3	2
108	должна быть	2	2
109	не нужно	2	2
110	это еще	2	2
111	отношение к	3	2
112	с их	5	2
113	о чем	4	2
114	этой традиции	2	2
115	свое время	2	2
116	в ней	3	2
117	в свое	2	2
118	на почве	5	2
119	не с	2	2
120	что и	3	2
121	с точки	2	2
122	но уже	2	2
123	не к	2	2
124	время в	2	2
125	вместе с	6	2
126	с ней	2	2
127	что же	3	2
128	входит в	2	2
129	именно в	8	2
130	на языке	2	2
131	который по	2	2
132	все это	6	2
133	в обоих	2	2
134	которых не	3	2
135	в принципе	2	2
136	другой стороны	5	2
137	жизни как	2	2
138	и для	4	2
139	должно быть	2	2
140	а в	5	2
141	той же	4	2
142	в результате	3	2
143	и с	2	2
144	говорить о	3	2
145	отсюда и	2	2
146	и это	6	2
147	дело в	3	2
148	здесь не	2	2
149	в области	4	2
150	мы имеем	3	2
151	между тем	8	2
