N	2gram	Tiupa_Narr_1	Istorich
1	и в	11	24
2	что он	3	21
3	не только	31	21
4	может быть	15	14
5	не может	8	14
6	в этих	2	13
7	что в	3	13
8	мы имеем	3	12
9	как в	4	12
10	в этом	12	12
11	но и	27	11
12	это не	3	10
13	у него	7	10
14	том что	7	10
15	а в	13	10
16	с другой	2	9
17	не в	6	9
18	все же	4	9
19	о том	4	9
20	потому что	5	9
21	еще не	4	8
22	другой стороны	2	8
23	то же	8	8
24	а не	13	8
25	или в	6	8
26	один из	6	7
27	в том	8	7
28	одна из	4	7
29	то что	9	7
30	вместе с	2	7
31	к нему	4	7
32	об этом	6	6
33	как и	13	6
34	но не	4	6
35	в нем	4	6
36	он не	3	6
37	и все	3	6
38	того что	4	6
39	только в	12	6
40	не менее	3	5
41	тот кто	2	5
42	представляют собой	3	5
43	дело не	2	5
44	так и	5	5
45	в чем	2	5
46	с ним	2	5
47	ничего не	2	5
48	в русской	3	5
49	героя и	2	5
50	но в	7	5
51	никогда не	4	4
52	что у	4	4
53	не всегда	3	4
54	тем не	3	4
55	представляет собой	8	4
56	при этом	19	4
57	своего рода	10	4
58	как бы	6	4
59	если не	2	4
60	и не	23	4
61	не имеет	2	4
62	мы не	3	4
63	так в	4	4
64	точки зрения	5	4
65	в данном	11	4
66	мы можем	2	4
67	после смерти	2	3
68	с его	4	3
69	обращается к	3	3
70	в качестве	14	3
71	а его	2	3
72	но они	3	3
73	на то	2	3
74	и стал	2	3
75	не вполне	2	3
76	сих пор	2	3
77	данном случае	8	3
78	по своим	2	3
79	как мы	2	3
80	она в	2	3
81	и даже	2	3
82	и он	6	3
83	и его	10	3
84	хотя и	4	3
85	к себе	4	3
86	из этих	4	3
87	связи с	2	3
88	что мы	2	3
89	в конце	2	3
90	тогда как	10	3
91	перед нами	5	2
92	не будет	2	2
93	того кто	2	2
94	та же	2	2
95	и от	2	2
96	этого не	2	2
97	прежде всего	4	2
98	в литературе	4	2
99	и ее	3	2
100	в то	4	2
101	у нее	4	2
102	в форме	2	2
103	она не	2	2
104	в самом	6	2
105	и о	3	2
106	к ним	2	2
107	но для	3	2
108	если в	2	2
109	на себя	4	2
110	и тем	4	2
111	этом и	4	2
112	во сне	2	2
113	со стороны	8	2
114	вплоть до	4	2
115	не по	4	2
116	здесь не	2	2
117	в связи	2	2
118	уже не	8	2
119	в особенности	2	2
120	позволяет нам	2	2
121	что не	2	2
122	друг друга	2	2
123	как это	3	2
124	героя но	2	2
125	сказать что	2	2
126	из них	4	2
127	и на	5	2
128	и после	2	2
129	только на	2	2
130	до сих	2	2
131	но при	3	2
