N	2gram	Ircho_Kome_3	Otkroven
1	у него	4	22
2	и в	22	19
3	но и	4	13
4	и не	21	13
5	в этом	8	12
6	а не	4	11
7	не в	4	11
8	человека в	2	11
9	может быть	6	11
10	не только	5	11
11	человека и	2	10
12	и все	2	10
13	в нем	3	10
14	никогда не	3	9
15	к человеку	2	9
16	не было	2	9
17	потому что	10	9
18	прежде всего	5	9
19	и он	2	8
20	он был	4	8
21	до конца	4	7
22	нет ничего	2	7
23	он не	5	7
24	в его	8	7
25	все это	5	6
26	как и	3	6
27	то что	4	5
28	а в	7	5
29	отношение к	5	5
30	о его	2	5
31	в том	12	5
32	в этой	3	5
33	в самом	9	5
34	с его	3	4
35	и мысли	3	4
36	т е	16	4
37	того чтобы	6	4
38	что не	3	4
39	и его	6	4
40	не может	3	4
41	что в	5	4
42	к нему	5	3
43	не могут	2	3
44	это не	2	3
45	что он	8	3
46	для того	6	3
47	хотя бы	4	3
48	в своих	2	3
49	еще не	6	3
50	все что	3	3
51	и ее	2	3
52	в себе	4	3
53	было бы	3	3
54	когда он	4	3
55	о том	8	3
56	с ним	5	3
57	как бы	3	3
58	любовь к	3	2
59	уже в	2	2
60	все же	4	2
61	что и	8	2
62	и для	4	2
63	с тем	4	2
64	так и	4	2
65	в своем	8	2
66	сразу же	4	2
67	и любовь	2	2
68	все еще	2	2
69	к этому	6	2
70	и к	3	2
71	о которой	2	2
72	не имеет	3	2
73	в ее	3	2
74	его не	2	2
75	в которой	3	2
76	в других	3	2
77	что для	2	2
78	том что	13	2
79	так что	6	2
80	в другом	2	2
81	и на	2	2
82	что они	2	2
83	и с	4	2
84	чем в	3	2
85	тем что	5	2
86	его в	8	2
87	должен был	4	2
88	в своей	5	2
89	так как	11	2
90	и этим	3	2
91	и о	2	2
92	к этой	2	2
93	ничего не	3	2
94	хотя и	5	2
95	которую он	2	2
96	к ней	8	2
97	о любви	2	2
98	но в	5	2
