N	2gram	Tiupa_Narr_1	Sovremen
1	не может	10	17
2	точки зрения	10	12
3	может быть	25	12
4	в этом	17	7
5	и в	19	7
6	и не	20	6
7	как и	7	6
8	в результате	2	6
9	ничего не	2	6
10	прежде всего	4	5
11	все эти	2	5
12	с точки	2	5
13	как бы	4	4
14	нет и	2	4
15	жизни и	3	4
16	это не	2	4
17	а в	11	4
18	не только	32	4
19	в том	18	4
20	из них	3	4
21	точку зрения	4	4
22	уже в	3	3
23	все же	7	3
24	отнюдь не	5	3
25	между собой	2	3
26	может не	3	3
27	отличается от	4	3
28	то же	4	3
29	в нем	4	3
30	а не	12	3
31	из двух	3	3
32	когда мы	2	3
33	не в	14	3
34	в этой	5	3
35	одна из	3	3
36	еще не	7	3
37	при этом	9	3
38	было бы	4	3
39	и т.д	7	3
40	и все	2	3
41	в первом	3	3
42	в себе	8	3
43	в области	2	3
44	но в	6	3
45	и потому	2	3
46	совершенно не	2	2
47	что это	3	2
48	не менее	3	2
49	у него	4	2
50	первые два	2	2
51	приводит к	2	2
52	в отличие	5	2
53	из этих	3	2
54	с одной	7	2
55	в третьем	3	2
56	как мы	3	2
57	уже не	5	2
58	в свою	3	2
59	или иной	5	2
60	самом деле	2	2
61	роль в	2	2
62	из которых	4	2
63	и даже	3	2
64	тем не	3	2
65	она может	2	2
66	то ни	3	2
67	в таком	2	2
68	но все	4	2
69	свою очередь	3	2
70	времени и	7	2
71	могут быть	3	2
72	как известно	2	2
73	что в	3	2
74	говорить о	2	2
75	такого рода	7	2
76	отличие от	5	2
77	в его	9	2
78	все те	4	2
