N	2gram	Tiupa_Narr_2	VelikijI
1	и не	14	20
2	и в	13	16
3	то что	8	9
4	еще не	2	8
5	что они	3	7
6	а не	17	7
7	в мире	4	5
8	хотя и	5	5
9	как бы	6	5
10	но и	15	5
11	того что	6	5
12	что он	5	4
13	в нем	5	4
14	как и	4	4
15	все что	4	4
16	в котором	5	4
17	так и	9	4
18	потому что	2	4
19	в этом	13	4
20	в ней	2	4
21	говорить о	2	4
22	и все	4	4
23	в его	6	4
24	с его	3	3
25	если не	2	3
26	должна быть	2	3
27	что в	4	3
28	превращается в	2	3
29	в конце	4	3
30	в жизни	6	3
31	в том	14	3
32	не в	8	3
33	но это	2	3
34	что я	3	3
35	к тому	9	3
36	никогда не	6	3
37	оно не	2	3
38	что и	2	3
39	жизни и	4	3
40	в своей	4	3
41	от которого	3	3
42	тому что	3	3
43	и что	2	3
44	не имеет	2	3
45	хотя бы	2	3
46	и для	3	3
47	все эти	3	3
48	в чем	2	3
49	но в	6	3
50	давно уже	2	2
51	это не	3	2
52	прежде всего	6	2
53	для нас	2	2
54	да и	3	2
55	том что	13	2
56	а к	3	2
57	одна из	3	2
58	но не	3	2
59	не к	4	2
60	для него	4	2
61	и сам	3	2
62	того чтобы	3	2
63	вслед за	6	2
64	не только	26	2
65	один из	3	2
66	и т	2	2
67	не будет	2	2
68	на том	3	2
69	в форме	5	2
70	а с	2	2
71	в себя	4	2
72	мы не	2	2
73	уже не	4	2
74	более чем	2	2
75	а в	9	2
76	с ним	4	2
77	можно было	2	2
78	между тем	3	2
79	только в	11	2
80	мира в	4	2
81	быть личностью	2	2
