N	2gram	Vygotskiy__2	Myslijsy
1	потому что	21	52
2	то есть	21	42
3	и в	32	39
4	в языке	4	33
5	может быть	18	27
6	в том	37	26
7	только в	7	25
8	что в	20	22
9	не может	17	22
10	а не	7	21
11	так как	12	21
12	не только	12	21
13	в нем	4	20
14	но и	10	20
15	и не	10	18
16	том что	21	16
17	так что	3	16
18	не в	8	15
19	в этом	13	15
20	если бы	6	14
21	чувства и	2	13
22	так и	3	13
23	в себе	2	13
24	таким образом	21	13
25	было бы	11	12
26	точно так	3	11
27	есть только	5	11
28	мы не	3	10
29	по себе	12	10
30	а потому	2	10
31	что не	3	10
32	то что	21	10
33	как в	9	10
34	и что	22	10
35	могут быть	4	9
36	для нас	2	9
37	как и	10	9
38	тем что	9	9
39	душевной жизни	2	9
40	тогда когда	3	9
41	но в	3	9
42	в одном	2	8
43	но не	2	8
44	вместе с	2	8
45	того что	8	8
46	точки зрения	17	8
47	с другой	3	7
48	в ней	5	7
49	в нас	3	7
50	с этим	4	7
51	должны быть	3	7
52	это не	2	7
53	в этих	2	7
54	же с	2	7
55	не менее	8	6
56	тем не	4	6
57	и как	7	6
58	еще не	2	6
59	что на	4	6
60	как бы	6	6
61	что и	17	6
62	все же	4	6
63	и т	10	6
64	бы не	2	6
65	то же	13	6
66	и наоборот	2	6
67	при этом	13	6
68	и по	4	6
69	в каком	3	6
70	того как	4	6
71	зависит от	2	5
72	с тем	11	5
73	из себя	2	5
74	вовсе не	2	5
75	несмотря на	4	5
76	но это	2	5
77	что при	9	5
78	которые мы	4	5
79	в его	2	5
80	то это	3	5
81	другой стороны	2	5
82	во всех	3	5
83	не имеют	2	5
84	так же	18	5
85	а в	4	5
86	и для	4	5
87	мысль что	2	5
88	не имеет	4	5
89	и его	7	5
90	в таком	2	5
91	между тем	4	5
92	с в	2	5
93	если же	4	5
94	не могут	3	4
95	никогда не	9	4
96	при таком	4	4
97	в свою	3	4
98	в смысле	3	4
99	а только	3	4
100	мы видим	4	4
101	свою очередь	2	4
102	же время	2	4
103	в действительности	4	4
104	к тому	7	4
105	от того	4	4
106	увидим что	2	4
107	в своих	9	4
108	в каждом	2	4
109	есть нечто	2	4
110	т п	8	4
111	т д	2	4
112	не было	2	4
113	и других	3	4
114	и даже	5	4
115	этой теории	2	4
116	тому как	3	4
117	с но	2	4
118	говорит он	4	4
119	само по	3	4
120	во всем	3	4
121	в то	5	4
122	там где	2	4
123	на деле	8	4
124	в самой	2	3
125	что это	8	3
126	тому что	4	3
127	в них	2	3
128	столь же	4	3
129	оно не	2	3
130	и от	2	3
131	и это	4	3
132	в жизни	4	3
133	что все	9	3
134	каким образом	3	3
135	представить себе	3	3
136	показывает что	3	3
137	думать что	3	3
138	человеком и	3	3
139	как она	4	3
140	только потому	2	3
141	из самого	2	3
142	в этой	6	3
143	очевидно что	2	3
144	только из	5	3
145	того же	2	3
146	если мы	12	3
147	она не	2	3
148	смотрит на	2	3
149	только на	5	3
150	все более	2	3
151	в своей	3	3
152	и их	3	3
153	что если	6	3
154	относится к	3	3
155	из которого	4	3
156	для того	13	3
157	явлений и	2	3
158	в состоянии	2	3
159	и тем	4	3
160	и той	4	3
161	в самом	12	3
162	были бы	3	3
163	на него	2	3
164	и без	2	3
165	столько же	3	3
166	или же	3	3
167	то ни	2	3
168	одной и	4	3
169	заключается в	12	3
170	не так	2	3
171	как на	5	3
172	той же	8	3
173	что для	7	3
174	что по	2	3
175	и то	3	3
176	во внимание	2	3
177	сказать что	7	3
178	во всяком	2	3
179	он не	6	3
180	подобно тому	2	3
181	и при	2	3
182	в сознании	4	3
183	и вообще	2	3
184	с точки	10	3
185	мы должны	3	3
186	могло бы	2	3
187	и все	4	3
188	с и	12	3
189	и другое	2	3
190	к которому	2	3
191	том как	2	3
192	и с	4	3
193	но как	3	3
194	слова в	2	2
195	не существует	2	2
196	мы будем	2	2
197	более и	2	2
198	есть как	2	2
199	утверждает что	5	2
200	и более	4	2
201	с если	2	2
202	в полном	2	2
203	но он	3	2
204	с этой	4	2
205	одного и	2	2
206	бы то	2	2
207	была бы	2	2
208	на все	5	2
209	значение и	2	2
210	что именно	3	2
211	на то	11	2
212	к одному	4	2
213	указывают на	2	2
214	том и	2	2
215	как во	2	2
216	жизни и	4	2
217	есть не	4	2
218	все что	2	2
219	того чтобы	14	2
220	мы в	3	2
221	в сущности	7	2
222	могли бы	2	2
223	никак не	4	2
224	и следовательно	2	2
225	в виду	3	2
226	но совершенно	3	2
227	для нее	2	2
228	его с	2	2
229	которое он	3	2
230	с ее	3	2
231	в целом	4	2
232	из этого	4	2
233	образом и	4	2
234	заключает в	2	2
235	что же	3	2
236	в их	3	2
237	тем более	2	2
238	для этого	3	2
239	и только	2	2
240	что оно	2	2
241	еще более	3	2
242	этот вопрос	3	2
243	из того	2	2
244	зависят от	2	2
245	обнаруживается в	2	2
246	на этот	2	2
247	хотя бы	3	2
248	на которую	2	2
249	том же	2	2
250	к ним	2	2
251	что самое	2	2
252	как будто	7	2
253	о том	6	2
254	при помощи	10	2
255	совершенно справедливо	6	2
256	и всегда	2	2
257	когда мы	2	2
258	заметить что	2	2
259	то все	2	2
260	не потому	2	2
261	в которой	2	2
262	которые не	3	2
263	не могли	3	2
264	в других	2	2
265	и которые	2	2
266	мы можем	3	2
