N	2gram	Berdyaev_O_1	Sovremen
1	не может	4	17
2	может быть	11	12
3	в этом	12	7
4	и в	19	7
5	и не	13	6
6	как и	6	6
7	ничего не	2	6
8	что же	2	5
9	прежде всего	9	5
10	все эти	4	5
11	как бы	3	4
12	это не	3	4
13	а в	5	4
14	вопрос о	10	4
15	не только	11	4
16	же это	2	4
17	в том	5	4
18	так как	2	4
19	уже в	2	3
20	все же	2	3
21	все это	6	3
22	в нем	10	3
23	а не	11	3
24	и к	2	3
25	не в	11	3
26	в этой	5	3
27	еще не	3	3
28	он в	2	3
29	было бы	3	3
30	и все	10	3
31	в себе	3	3
32	но в	2	3
33	и потому	2	3
34	ведь это	2	3
35	не могут	3	2
36	и есть	3	2
37	у него	22	2
38	что все	2	2
39	могут быть	3	2
40	что в	4	2
41	это за	3	2
42	в самом	5	2
43	в которой	2	2
44	в его	7	2
