N	2gram	Propp_Isto_6	EvropaiC
1	таким образом	12	32
2	в том	12	31
3	и в	26	24
4	том что	10	20
5	все эти	8	19
6	не может	6	18
7	то что	6	17
8	может быть	11	15
9	все же	8	15
10	в своем	2	12
11	до сих	4	12
12	сих пор	4	12
13	в этом	12	12
14	с этим	2	11
15	отношению к	2	10
16	мы знаем	2	10
17	как бы	4	10
18	по отношению	2	10
19	все что	4	10
20	так и	5	10
21	на то	2	9
22	при этом	3	9
23	как и	5	9
24	того же	2	9
25	что в	12	9
26	не в	3	8
27	у народа	2	8
28	так же	2	8
29	знаем что	2	8
30	если бы	3	8
31	к тому	2	7
32	но и	9	7
33	и не	10	7
34	и что	5	7
35	из этих	4	7
36	о котором	2	7
37	о том	7	7
38	что он	9	7
39	из этого	3	7
40	должна быть	3	6
41	с другой	10	6
42	так что	3	6
43	в этой	2	6
44	отличается от	2	6
45	того что	2	6
46	как на	3	6
47	и на	12	6
48	что касается	2	6
49	так как	18	6
50	с ним	8	6
51	еще не	9	6
52	что и	4	6
53	тогда как	2	6
54	у них	4	6
55	мы можем	7	6
56	только в	5	6
57	вместе с	8	6
58	что это	2	5
59	и от	3	5
60	у него	7	5
61	другой стороны	8	5
62	и с	6	5
63	потому что	13	5
64	его в	5	5
65	но в	7	5
66	к этому	3	5
67	в то	5	5
68	что при	2	5
69	в его	5	5
70	не только	10	5
71	не будет	5	5
72	но все	2	5
73	в себе	3	5
74	как будто	3	5
75	далеко не	3	5
76	никогда не	13	4
77	самого себя	2	4
78	та же	3	4
79	этом случае	6	4
80	не так	2	4
81	и то	3	4
82	мы должны	2	4
83	мы уже	6	4
84	он не	2	4
85	не есть	2	4
86	то же	5	4
87	а с	2	4
88	и сейчас	2	4
89	в народе	2	4
90	из которых	3	4
91	в виде	6	4
92	же как	3	3
93	с одной	7	3
94	в этих	2	3
95	представление о	9	3
96	вопрос о	3	3
97	в тех	3	3
98	для нас	2	3
99	как у	2	3
100	не вполне	2	3
101	это представление	12	3
102	в нем	8	3
103	на этой	2	3
104	данном случае	3	3
105	от того	3	3
106	целый ряд	2	3
107	что оно	4	3
108	и других	3	3
109	и наконец	3	3
110	и по	4	3
111	а в	3	3
112	это не	4	3
113	что мы	2	3
114	при помощи	3	3
115	с тем	4	3
116	прежде всего	4	3
117	таким же	3	3
118	у нас	5	3
119	от него	3	3
120	даже в	2	3
121	только что	2	3
122	на земле	4	3
123	случаях когда	3	3
124	должны быть	2	3
125	в данном	3	3
126	и это	8	3
127	же не	2	3
128	независимо от	3	2
129	в частности	3	2
130	что у	2	2
131	но так	3	2
132	с этой	2	2
133	что эти	2	2
134	как мы	4	2
135	сводится к	2	2
136	совершенно ясно	4	2
137	такой же	3	2
138	что они	2	2
139	одной стороны	7	2
140	и сам	2	2
141	нет в	3	2
142	но для	2	2
143	в ней	5	2
144	всяком случае	2	2
145	мы видели	11	2
146	другими словами	3	2
147	на том	8	2
148	и до	2	2
149	образом и	2	2
150	что она	3	2
151	то и	2	2
152	показывают что	5	2
153	в одно	2	2
154	они не	3	2
155	и некоторые	2	2
156	и те	2	2
157	с ними	2	2
158	в которых	2	2
159	одну из	4	2
160	на более	3	2
161	но как	4	2
162	не было	3	2
163	во всяком	2	2
164	борьбы с	3	2
165	не будут	2	2
166	и там	6	2
167	от нее	2	2
168	в них	3	2
169	если он	3	2
170	вовсе не	2	2
171	на первый	3	2
172	одна из	2	2
173	но не	2	2
174	только то	2	2
175	она не	3	2
176	было бы	2	2
177	жизни и	2	2
178	никто не	2	2
179	него в	2	2
180	на него	2	2
181	что же	2	2
182	тем самым	2	2
183	и ее	3	2
184	ту же	2	2
185	и только	3	2
186	случай с	2	2
187	в эту	2	2
188	из него	2	2
