N	3gram	Vygotskiy__7	Vvedenie
1	для того чтобы	18	20
2	о том что	4	12
3	в том что	13	12
4	тем не менее	3	8
5	не может быть	4	8
6	в самом деле	4	6
7	к выводу что	2	6
8	до сих пор	3	6
9	мере в какой	2	5
10	той мере в	2	5
11	в той мере	2	5
12	в данном случае	5	4
13	с одной стороны	5	4
14	по сравнению с	7	4
15	в этом случае	14	4
16	в этом отношении	3	4
17	по отношению к	5	4
18	именно в этом	2	3
19	о чем говорится	4	3
20	одной стороны и	3	3
21	можно сказать что	3	3
22	в собственном смысле	3	3
23	как мы видели	3	3
24	вместе с тем	4	3
25	в известном смысле	2	3
26	заключается в том	4	3
27	не до конца	2	2
28	смысле этого слова	3	2
29	и той же	2	2
30	по этому поводу	3	2
31	с точки зрения	21	2
32	по своему значению	2	2
33	точно так же	2	2
34	не могут не	2	2
35	что в этом	2	2
36	то же самое	5	2
37	состоит в том	3	2
38	одной и той	2	2
39	потому что он	2	2
