N	2gram	Berdyaev_O_1	RusskieA
1	и в	19	29
2	т е	4	24
3	что в	4	22
4	том что	2	22
5	в том	5	22
6	как бы	3	18
7	в других	2	15
8	может быть	11	13
9	так как	2	13
10	как и	6	11
11	в этом	12	11
12	все это	6	10
13	в этот	2	10
14	и с	2	10
15	не только	11	10
16	о том	3	9
17	а в	5	9
18	но и	13	8
19	ее в	2	8
20	его в	2	8
21	с тем	2	6
22	еще не	3	6
23	для того	3	6
24	того чтобы	4	6
25	и на	2	6
26	на земле	4	5
27	потому что	9	5
28	это не	3	5
29	к этому	2	5
30	то что	5	5
31	не может	4	5
32	но в	2	5
33	и все	10	4
34	не все	2	4
35	вопрос о	10	4
36	так что	2	4
37	не в	11	4
38	к нему	3	4
39	а не	11	4
40	тем что	2	3
41	и там	2	3
42	должен был	2	3
43	в этих	3	3
44	и от	3	3
45	в ее	2	3
46	до конца	7	3
47	того что	3	3
48	было бы	3	3
49	и о	2	3
50	не имеет	2	3
51	что для	2	3
52	все эти	4	3
53	но он	7	3
54	в этой	5	3
55	могут быть	3	2
56	никогда не	9	2
57	жизни в	2	2
58	сразу же	2	2
59	прежде всего	9	2
60	что и	2	2
61	к ней	2	2
62	человека а	2	2
63	чем в	2	2
64	совсем не	2	2
65	все же	2	2
66	в своей	2	2
67	все в	4	2
68	природы и	2	2
69	не было	9	2
70	и для	2	2
71	должно быть	2	2
72	в своих	3	2
73	и то	2	2
74	одно из	2	2
75	и ее	3	2
76	в которой	2	2
