N	2gram	Tiupa_Disk_2	KulturaY
1	и в	16	23
2	точки зрения	4	23
3	в том	8	22
4	не только	10	17
5	в этом	16	16
6	с точки	2	16
7	в области	2	14
8	может быть	16	14
9	что в	5	13
10	не менее	7	12
11	потому что	4	12
12	том что	10	11
13	а не	14	11
14	в его	3	11
15	и не	15	10
16	прежде всего	7	9
17	еще не	6	9
18	уже не	3	8
19	как на	3	8
20	с другой	5	7
21	или иной	3	7
22	в языке	2	7
23	речи в	2	7
24	должно быть	2	7
25	в данном	7	7
26	все эти	3	7
27	что и	2	6
28	что он	2	6
29	при этом	17	6
30	так и	9	6
31	не может	9	6
32	то же	6	6
33	могут быть	3	6
34	говорить о	2	6
35	только в	3	6
36	о том	4	6
37	что же	2	5
38	в рамках	7	5
39	как и	16	5
40	не в	3	5
41	как бы	4	5
42	все же	6	5
43	а в	2	5
44	но это	3	5
45	также и	3	5
46	той или	3	5
47	из этих	3	5
48	далеко не	2	5
49	а также	8	4
50	этом случае	2	4
51	в целом	2	4
52	того же	2	4
53	одной стороны	4	4
54	столь же	3	4
55	в своей	6	4
56	то что	5	4
57	данном случае	6	4
58	как в	8	4
59	в своем	5	4
60	не было	3	4
61	с одной	4	4
62	в той	2	4
63	тем самым	6	4
64	не столько	3	4
65	между тем	2	4
66	отношения между	2	4
67	отнюдь не	6	3
68	это не	3	3
69	должна быть	2	3
70	именно в	2	3
71	или иного	2	3
72	что на	2	3
73	ни в	7	3
74	но не	7	3
75	на мой	2	3
76	в первую	2	3
77	по преимуществу	2	3
78	он не	3	3
79	отношение к	2	3
80	время в	2	3
81	но и	11	3
82	первую очередь	2	3
83	по отношению	4	3
84	другой стороны	2	3
85	а с	5	3
86	в ней	2	3
87	в ряду	2	3
88	и с	2	3
89	той же	2	3
90	что как	2	3
91	в результате	2	3
92	может иметь	2	3
93	в то	5	3
94	я в	5	3
95	мой взгляд	2	3
96	я и	4	3
97	такой же	2	2
98	все это	2	2
99	о чем	2	2
100	в частности	12	2
101	одного и	3	2
102	в одном	4	2
103	это в	2	2
104	не более	2	2
105	указать на	2	2
106	можно сказать	3	2
107	к его	4	2
108	состоит в	16	2
109	и того	3	2
110	и как	3	2
111	свое время	2	2
112	это еще	2	2
113	в качестве	16	2
114	иначе говоря	3	2
115	не о	2	2
116	в свое	2	2
117	в котором	3	2
118	его в	3	2
119	не с	2	2
120	отношению к	4	2
121	в пределах	4	2
122	своего рода	10	2
123	вместе с	2	2
124	в отличие	12	2
125	при котором	2	2
126	более чем	2	2
127	не знает	3	2
128	тому как	2	2
129	в этих	3	2
130	здесь не	2	2
131	отличие от	12	2
132	мы имеем	2	2
133	но в	11	2
