N	2gram	Losev_Vlad_3	Marksizm
1	точки зрения	13	34
2	может быть	8	26
3	и не	25	26
4	не может	14	24
5	с точки	6	20
6	и в	40	19
7	и его	10	19
8	таким образом	11	17
9	в этом	16	16
10	как бы	3	15
11	прежде всего	10	13
12	как мы	8	13
13	как и	7	12
14	так и	6	11
15	если мы	4	11
16	и для	3	11
17	связи с	2	11
18	в самом	4	10
19	в нем	3	10
20	для него	8	9
21	в результате	4	9
22	только в	13	9
23	при этом	3	8
24	бы то	3	8
25	но и	18	8
26	то ни	3	8
27	друг друга	2	8
28	не только	25	8
29	все же	4	8
30	то что	28	8
31	в связи	3	7
32	все эти	5	7
33	так же	8	7
34	но в	4	7
35	то же	4	7
36	а не	8	7
37	в смысле	6	6
38	в том	18	6
39	кроме того	6	6
40	является не	3	6
41	в настоящее	3	6
42	другой стороны	2	6
43	и здесь	6	6
44	настоящее время	3	6
45	отнюдь не	5	6
46	того же	2	6
47	в основном	4	6
48	в его	14	6
49	на почве	2	6
50	мы не	2	6
51	ничего не	5	6
52	с другой	5	5
53	в конце	12	5
54	именно в	3	5
55	мы знаем	3	5
56	не в	3	5
57	до конца	4	5
58	в начале	2	5
59	и потому	10	5
60	и все	4	5
61	к этому	2	5
62	вовсе не	13	5
63	за пределы	3	5
64	по преимуществу	2	5
65	в отличие	3	5
66	того чтобы	3	5
67	хотя бы	6	5
68	во всяком	3	5
69	ничего общего	5	5
70	отличие от	3	5
71	что в	17	4
72	не менее	9	4
73	в отношении	5	4
74	вопрос о	4	4
75	в ней	5	4
76	не является	2	4
77	от того	4	4
78	не столько	3	4
79	а в	7	4
80	и на	6	4
81	сказать что	12	4
82	с этим	2	4
83	по себе	6	4
84	еще не	4	4
85	было бы	4	4
86	не будет	6	4
87	что же	9	4
88	только на	5	4
89	для того	2	4
90	и эта	3	4
91	в данном	5	4
92	далеко не	3	4
93	этом отношении	2	3
94	в какой	2	3
95	и от	6	3
96	здесь в	4	3
97	и как	7	3
98	в дальнейшем	4	3
99	же время	2	3
100	не имеют	2	3
101	в котором	4	3
102	из них	2	3
103	не было	5	3
104	конце концов	5	3
105	того что	7	3
106	не имеет	4	3
107	только при	4	3
108	xix века	6	3
109	в то	7	3
110	же самое	3	3
111	его в	2	3
112	нет ничего	2	3
113	не существует	2	3
114	не могут	2	3
115	в каком	4	3
116	и к	2	3
117	том что	18	3
118	мы должны	4	3
119	одной из	2	3
120	совершенно не	2	3
121	в сущности	2	3
122	общего с	2	3
123	он не	8	3
124	не есть	10	3
125	в своей	9	3
126	быть и	2	3
127	в истории	5	3
128	на самом	3	3
129	сводится к	3	3
130	имеет свою	2	3
131	но все	3	3
132	является в	2	3
133	вполне понятно	3	3
134	и это	6	3
135	в которой	2	3
136	же как	3	2
137	независимо от	3	2
138	должна быть	2	2
139	никогда не	11	2
140	себе отчет	3	2
141	тому что	4	2
142	в своем	8	2
143	же деле	2	2
144	что все	7	2
145	первый план	2	2
146	тем не	10	2
147	ни в	10	2
148	о философии	2	2
149	мог бы	4	2
150	он ни	2	2
151	но для	3	2
152	но если	5	2
153	в виду	3	2
154	всяком случае	3	2
155	себе и	2	2
156	в нашем	2	2
157	и только	3	2
158	точке зрения	2	2
159	не просто	10	2
160	и даже	6	2
161	должно быть	5	2
162	можно было	5	2
163	в философии	3	2
164	в своих	7	2
165	с этой	2	2
166	это является	2	2
167	же и	2	2
168	из этих	3	2
169	к его	2	2
170	о том	11	2
171	этом смысле	3	2
172	так как	7	2
173	бы в	2	2
174	к этой	2	2
175	нет ни	2	2
176	и с	9	2
177	от этого	2	2
178	ни к	2	2
179	и более	2	2
180	если бы	3	2
181	не как	2	2
182	быть в	2	2
183	что он	5	2
184	вот в	2	2
185	далеко за	2	2
186	в себе	9	2
187	у нас	5	2
188	то в	6	2
189	самом же	2	2
190	в качестве	3	2
191	она не	2	2
192	мы уже	5	2
193	к тому	7	2
194	на первый	2	2
195	то как	3	2
196	и этот	2	2
197	не все	3	2
198	что и	7	2
199	отчет в	2	2
200	бы и	4	2
201	и речи	2	2
202	как раз	10	2
203	к своему	2	2
204	в таком	3	2
205	или иначе	2	2
206	тем что	5	2
207	в другом	2	2
208	и вообще	3	2
209	таком случае	2	2
210	из этого	2	2
211	без всякой	2	2
212	в чем	3	2
213	как с	2	2
