N	3gram	Tiupa_Narr_2	Hudozhes
1	в том что	8	11
2	о том что	4	7
3	по отношению к	5	7
4	личной тайны в	2	5
5	то же время	3	4
6	к тому что	3	4
7	подобно тому как	2	4
8	в то же	3	4
9	с одной стороны	5	3
10	в соответствии с	3	3
11	в конечном счете	3	3
12	не может быть	2	3
13	но при этом	3	3
14	тем не менее	4	3
15	не случайно в	2	2
16	с такою радостью	2	2
17	в данном случае	6	2
18	ушел бы с	2	2
19	так же как	2	2
20	состоит в том	4	2
21	к тому же	4	2
22	не только не	2	2
23	тогда как в	2	2
24	с точки зрения	2	2
25	тому что он	2	2
26	не только в	6	2
27	ему казалось что	2	2
28	свой пустой двор	2	2
29	бы с такою	2	2
30	того или иного	3	2
31	и т п	2	2
32	все те же	2	2
