N	2gram	Tiupa_Vved_1	Analitik
1	не только	20	22
2	тогда как	10	20
3	и в	13	18
4	как и	11	14
5	так и	8	14
6	в этом	21	14
7	но и	19	13
8	и его	5	13
9	в частности	13	12
10	том что	7	12
11	в качестве	8	12
12	и не	12	12
13	при этом	26	11
14	коммуникативного события	5	11
15	а в	6	10
16	как бы	4	10
17	то есть	8	10
18	может быть	18	9
19	со стороны	5	9
20	в тексте	10	9
21	что в	3	9
22	а не	15	9
23	в том	10	9
24	своего рода	10	8
25	всего лишь	5	8
26	с другой	5	7
27	но не	5	7
28	в его	4	7
29	отношению к	7	7
30	как раз	2	7
31	по отношению	7	7
32	к тому	6	6
33	не в	6	6
34	в начале	3	6
35	для него	3	6
36	еще не	7	6
37	он не	3	6
38	текста в	3	6
39	о том	5	6
40	никогда не	4	5
41	однако в	4	5
42	не является	3	5
43	в случае	2	5
44	прежде всего	7	5
45	в свою	4	5
46	или иной	3	5
47	такого рода	16	5
48	в самом	2	5
49	как правило	6	5
50	что и	2	5
51	в мире	8	5
52	и т.п	9	5
53	другой стороны	2	5
54	лишь в	2	5
55	уже не	5	5
56	в слове	3	5
57	в результате	3	5
58	мы имеем	5	5
59	представляет собой	15	5
60	не менее	4	4
61	перед нами	6	4
62	о чем	2	4
63	отнюдь не	7	4
64	в своем	5	4
65	состоит в	10	4
66	в итоге	3	4
67	по себе	2	4
68	можно сказать	4	4
69	и к	2	4
70	свою очередь	4	4
71	во втором	2	4
72	имеем дело	3	4
73	текста с	2	4
74	в пределах	2	4
75	картина мира	12	4
76	все же	6	4
77	принадлежит к	3	4
78	картины мира	5	4
79	приводит к	2	4
80	внимание на	3	4
81	ли не	2	4
82	таким образом	4	4
83	тем самым	5	4
84	и на	3	4
85	в данном	13	4
86	далеко не	4	4
87	героя и	3	4
88	в рамках	4	3
89	однако и	2	3
90	восходит к	2	3
91	не столько	4	3
92	из этих	3	3
93	к этому	2	3
94	не всегда	2	3
95	тому же	4	3
96	и того	2	3
97	было бы	4	3
98	же время	3	3
99	по поводу	2	3
100	той или	3	3
101	если в	2	3
102	в целом	3	3
103	данном случае	6	3
104	как в	4	3
105	который в	2	3
106	так в	4	3
107	дело с	2	3
108	то же	5	3
109	не было	2	3
110	этом отношении	4	3
111	мы не	4	3
112	без исключения	2	3
113	пока еще	4	3
114	являет собой	2	3
115	следует признать	4	3
116	подобно тому	2	3
117	что касается	5	3
118	он и	2	3
119	говорить о	2	3
120	в финале	2	3
121	в то	4	3
122	по воле	2	3
123	здесь не	2	3
124	едва ли	3	3
125	нашего времени	2	3
126	художественного высказывания	2	2
127	бы и	4	2
128	очевидным образом	2	2
129	могут быть	4	2
130	все они	2	2
131	в них	2	2
132	это не	6	2
133	но они	2	2
134	не как	2	2
135	и от	2	2
136	в жизни	4	2
137	в нем	5	2
138	тем не	3	2
139	в романе	6	2
140	в соответствии	6	2
141	с появлением	2	2
142	в противовес	3	2
143	одна из	4	2
144	мира и	2	2
145	по своему	2	2
146	одной стороны	5	2
147	например в	2	2
148	дистанция между	2	2
149	коммуникативной ситуации	3	2
150	иначе говоря	6	2
151	хотя и	7	2
152	в ней	4	2
153	об этом	4	2
154	а также	8	2
155	по своей	3	2
156	в финальной	2	2
157	по сути	2	2
158	один из	3	2
159	не с	3	2
160	то что	6	2
161	в первом	2	2
162	во всех	2	2
163	судя по	2	2
164	в составе	2	2
165	не может	7	2
166	в отличие	2	2
167	с одной	5	2
168	те же	2	2
169	о которой	2	2
170	сводится к	4	2
171	в той	4	2
172	самом деле	3	2
173	высказывания как	3	2
174	и по	3	2
175	персонажа в	2	2
176	и для	3	2
177	тому как	2	2
178	мы можем	2	2
179	тем что	2	2
180	мере в	2	2
181	в себе	5	2
182	могла бы	3	2
183	что мы	2	2
184	только в	6	2
185	и т.д	5	2
186	и все	4	2
187	этом ряду	2	2
188	так сказать	2	2
189	отличие от	2	2
190	но в	6	2
191	картине мира	4	2
