N	2gram	Propp_Isto_2	Psycholo
1	то что	12	37
2	и в	15	30
3	в том	6	27
4	что в	12	24
5	и что	6	23
6	потому что	9	23
7	том что	7	21
8	таким образом	7	20
9	того чтобы	2	20
10	как бы	6	19
11	что он	24	17
12	на то	3	17
13	не только	18	16
14	в этом	11	14
15	так же	13	13
16	одной стороны	3	12
17	в сущности	2	12
18	вместе с	7	12
19	показать что	2	12
20	с одной	4	12
21	может быть	17	11
22	что мы	3	11
23	о том	3	10
24	никогда не	15	9
25	с другой	2	9
26	мы увидим	8	9
27	и когда	2	9
28	не может	5	9
29	увидим что	3	9
30	и то	2	9
31	сказать что	2	9
32	так как	14	9
33	с тем	9	8
34	что это	6	8
35	мы имеем	15	8
36	он должен	2	8
37	к тому	5	8
38	не в	7	8
39	а не	5	8
40	при этом	4	8
41	того что	3	8
42	самом деле	2	8
43	мы видим	8	8
44	могут быть	2	8
45	и это	3	8
46	в нем	7	7
47	но не	2	7
48	мы можем	8	7
49	все же	9	7
50	и т	19	7
51	то же	10	7
52	совершенно ясно	2	7
53	как это	3	7
54	уже в	2	6
55	что она	5	6
56	именно в	2	6
57	как и	2	6
58	и если	2	6
59	и для	2	6
60	но и	14	6
61	и не	11	6
62	говорит что	3	6
63	и его	3	6
64	или в	2	6
65	и здесь	9	6
66	тем что	4	6
67	мы уже	6	6
68	как будто	3	6
69	когда мы	2	6
70	и есть	5	5
71	в этой	4	5
72	что они	10	5
73	еще не	9	5
74	до сих	6	5
75	было бы	5	5
76	был бы	2	5
77	когда он	3	5
78	один из	8	5
79	сих пор	7	5
80	другой стороны	2	5
81	а с	2	5
82	в себе	4	5
83	но в	6	5
84	только в	6	5
85	прежде всего	5	4
86	мы могли	2	4
87	то это	6	4
88	в ней	4	4
89	в его	6	4
90	в него	2	4
91	и именно	2	4
92	а в	12	4
93	действующие лица	2	4
94	как она	4	4
95	что эта	2	4
96	должен был	3	4
97	в виду	2	4
98	что герой	5	3
99	и другие	4	3
100	у него	4	3
101	что у	2	3
102	в состоянии	3	3
103	хотя бы	2	3
104	это не	2	3
105	из этих	3	3
106	состоит в	2	3
107	и говорит	2	3
108	вопрос о	4	3
109	показывает что	4	3
110	самого начала	2	3
111	видим что	5	3
112	для нас	4	3
113	об этом	11	3
114	с самого	2	3
115	так что	6	3
116	одна из	2	3
117	что здесь	4	3
118	когда она	3	3
119	он не	8	3
120	что и	6	3
121	на его	2	3
122	ни в	2	3
123	так и	5	3
124	что при	5	3
125	как в	5	3
126	в их	3	3
127	так в	3	3
128	это только	2	3
129	и только	2	3
130	т д	18	3
131	и наконец	5	3
132	той же	2	3
133	мы не	3	3
134	можно было	5	3
135	человека в	2	3
136	в силу	2	3
137	но он	4	3
138	и на	4	3
139	в другом	9	3
140	мы должны	4	3
141	в этих	11	3
142	иметь в	2	3
143	в которой	2	3
144	он является	2	2
145	перед нами	2	2
146	с которой	2	2
147	ни один	2	2
148	же как	5	2
149	связи с	8	2
150	он в	3	2
151	знаем что	12	2
152	себя и	2	2
153	в одной	4	2
154	с этим	5	2
155	в одном	5	2
156	что эти	4	2
157	не что	2	2
158	мы знаем	11	2
159	дает ему	2	2
160	этом случае	5	2
161	он был	3	2
162	а затем	2	2
163	по существу	2	2
164	но все	5	2
165	предположить что	3	2
166	в нашей	2	2
167	или на	4	2
168	и почему	3	2
169	в качестве	3	2
170	мог бы	3	2
171	в котором	5	2
172	иное как	2	2
173	из них	2	2
174	представляют собой	3	2
175	во всех	2	2
176	в нее	2	2
177	находится в	2	2
178	что весь	2	2
179	все это	3	2
180	но его	2	2
181	по отношению	3	2
182	того как	4	2
183	в себя	3	2
184	приводит к	2	2
185	и герой	2	2
186	он видит	2	2
187	ничего не	7	2
188	в которых	2	2
189	и с	4	2
190	и так	2	2
191	он дает	2	2
192	что иное	2	2
193	не знает	2	2
194	его на	2	2
195	перейдем к	2	2
196	как он	3	2
197	все эти	4	2
198	на самом	2	2
