N	2gram	Vinokur_St_1	Formalny
1	т е	15	34
2	и в	44	24
3	в его	9	23
4	прежде всего	7	22
5	и не	16	20
6	так и	9	18
7	не может	8	16
8	точки зрения	11	16
9	в этом	21	15
10	в нем	5	14
11	может быть	15	14
12	с точки	8	13
13	таким образом	7	13
14	истории литературы	2	12
15	и т	30	12
16	в своем	2	11
17	не менее	5	11
18	как и	9	11
19	в своей	6	11
20	вовсе не	19	10
21	и их	2	10
22	то же	5	10
23	в ней	3	10
24	а не	16	10
25	и его	8	10
26	история литературы	2	9
27	и потому	2	9
28	все это	5	9
29	в то	9	9
30	произведения в	2	8
31	в ее	4	8
32	же время	4	8
33	именно в	6	8
34	то что	18	8
35	как в	13	8
36	т д	21	8
37	лишь в	3	8
38	не в	12	8
39	и с	3	8
40	должна быть	3	7
41	не только	18	7
42	жизни и	5	7
43	но и	10	7
44	на самом	6	7
45	и все	2	6
46	было бы	17	6
47	в том	36	6
48	в этой	11	6
49	самом деле	11	6
50	до сих	7	6
51	она не	2	6
52	еще не	3	6
53	как бы	4	6
54	сих пор	7	6
55	в целом	5	6
56	а в	17	6
57	отношения к	2	6
58	все эти	5	6
59	как это	4	6
60	хотя бы	6	5
61	должен быть	3	5
62	у нас	11	5
63	при этом	2	5
64	во всех	8	5
65	в самом	7	5
66	со стороны	6	5
67	того что	9	5
68	должны быть	3	5
69	с другой	9	5
70	но в	10	5
71	в частности	4	4
72	никогда не	5	4
73	для этого	2	4
74	литературная критика	2	4
75	одной стороны	2	4
76	если бы	9	4
77	конечно не	2	4
78	всяком случае	6	4
79	отношению к	3	4
80	при таком	2	4
81	быть и	2	4
82	так же	5	4
83	по отношению	3	4
84	т п	9	4
85	что в	30	4
86	с одной	3	4
87	в которой	4	4
88	с этой	3	4
89	во всяком	6	4
90	в истории	3	4
91	как о	2	4
92	но не	3	3
93	в отношении	9	3
94	всех этих	2	3
95	материала и	2	3
96	своей статье	4	3
97	он должен	2	3
98	ясно что	10	3
99	или иного	4	3
100	что он	10	3
101	смысле этого	2	3
102	для него	6	3
103	это и	4	3
104	но это	6	3
105	в каждом	3	3
106	так например	7	3
107	ни на	2	3
108	со всеми	2	3
109	не по	3	3
110	но для	2	3
111	он не	2	3
112	все же	8	3
113	отношение к	2	3
114	в россии	4	3
115	или же	2	3
116	не было	4	3
117	не для	2	3
118	мы не	2	3
119	тем самым	2	3
120	и даже	5	3
121	его в	2	3
122	целый ряд	2	3
123	в основе	3	3
124	в себе	2	3
125	как к	3	3
126	этого слова	2	3
127	думать что	2	3
128	в области	14	3
129	того или	4	2
130	а как	2	2
131	нисколько не	2	2
132	ни были	2	2
133	и более	2	2
134	же как	3	2
135	это не	8	2
136	с этим	3	2
137	в применении	3	2
138	эпохи и	3	2
139	вопрос о	4	2
140	по истории	2	2
141	идет о	2	2
142	все в	2	2
143	ни в	3	2
144	по существу	2	2
145	но все	4	2
146	каждого из	2	2
147	литературы и	2	2
148	в литературном	2	2
149	только в	10	2
150	таком положении	2	2
151	е как	2	2
152	зрения их	2	2
153	как раз	4	2
154	за пределы	2	2
155	была бы	5	2
156	что и	6	2
157	убедиться в	2	2
158	места в	2	2
159	на него	2	2
160	этой работы	2	2
161	не могла	2	2
162	применении к	3	2
163	и что	4	2
164	ни одного	2	2
165	и те	2	2
166	или иначе	2	2
167	в результате	3	2
168	между тем	3	2
169	от этого	2	2
170	даже и	2	2
171	в своих	2	2
172	к которому	4	2
173	ничего не	2	2
174	но ведь	8	2
175	и это	2	2
176	могло бы	2	2
